Verb,Model,ModelSize,Indices,Examples,Size,Coverage
воздерживаться,от_Gen,0.6,57  ,"визит,поездка  ",3415,0.5903614457831325
воздерживаться,от_Gen,0.6,212  ,"ответ,объяснение  ",2024,0.5333333333333333
воздерживаться,от_Gen,0.6,435  ,"голосование,референдум  ",673,0.5
воздерживаться,от_Gen,0.6,229  ,"использование,применение  ",1218,0.7692307692307692
воздерживаться,от_Gen,0.6,175  ,"помощь,поддержка  ",664,0.5882352941176471
воздерживаться,от_Gen,0.6,76  ,"проведение,выполнение  ",1519,0.651515151515151
воздерживаться,от_Gen,0.6,283  ,"процесс,процедура  ",416,0.7
воздерживаться,от_Gen,0.6,629  ,"мера,степень  ",298,0.6666666666666666
воздерживаться,от_Gen,0.6,171  ,"насилие,жестокость  ",413,0.5294117647058824
воздерживаться,от_Gen,0.6,550  ,"угроза,опасность  ",237,0.5
воздерживаться,от_Gen,0.6,342  ,"покупка,приобретение  ",285,0.625
воздерживаться,от_Gen,0.6,112  ,"производство,поставка  ",338,0.5416666666666666
воздерживаться,от_Gen,0.6,401  ,"критика,нападки  ",199,0.857142857142857
воздерживаться,от_Gen,0.6,163  ,"поцелуй,прикосновение  ",127,0.6111111111111113
воздерживаться,от_Gen,0.6,186  ,"еда,пища  ",123,0.5625
воздерживаться,от_Gen,0.6,365  ,"высылка,депортация  ",104,0.7142857142857142
воздерживаться,от_Gen,0.6,392  ,"поведение,поступок  ",89,0.7142857142857142
воздерживаться,от_Gen,0.6,586  ,"пропаганда,агитация  ",42,0.6666666666666666
воздерживаться,от_Gen,0.6,598  ,"выдвижение,избрание  ",32,1.0
воздерживаться,от_Gen,0.6,741  ,"искушение,соблазн  ",39,1.0
воздерживаться,от_Gen,0.6,345  ,"ограничение,запрет  ",64,0.75
воздерживаться,от_Gen,0.6,226  ,"движение,перемещение  ",58,0.5714285714285713
воздерживаться,от_Gen,0.6,238  ,"мысль,воспоминание  ",59,0.6923076923076923
воздерживаться,от_Gen,0.6,600  ,"отказ,отмена  ",23,0.6666666666666666
воздерживаться,от_Gen,0.6,456  ,"наказание,штраф  ",30,0.8
воздерживаться,от_Gen,0.6,458  ,"указание,предписание  ",36,0.6000000000000001
воздерживаться,от_Gen,0.6,399  ,"доставка,отправка  ",28,0.7142857142857142
воздерживаться,от_Gen,0.6,587  ,"сравнение,сопоставление  ",14,0.6666666666666666
воздерживаться,от_Gen,0.6,517  ,"пьянка,попойка  ",18,0.75
воздерживаться,от_Gen,0.6,556  ,"просмотр,чтение  ",29,1.0
воздерживаться,от_Gen,0.6,494  ,"ругательство,брань  ",27,0.8
воздерживаться,от_Gen,0.6,667  ,"грубость,хамство  ",12,0.6666666666666666
воздерживаться,от_Gen,0.6,575  ,"трактовка,интерпретация  ",14,0.75
воздерживаться,от_Gen,0.6,639  ,"экспансия,колонизация  ",11,0.6666666666666666
воздерживаться,от_Gen,0.6,765  ,"комплимент,похвала  ",14,1.0
воздерживаться,от_Gen,0.6,526  ,"возникновение,появление  ",11,0.5
воздерживаться,от_Gen,0.6,654  ,"пост,должность  ",9,0.6666666666666666
воздерживаться,от_Gen,0.6,696  ,"кормление,вскармливание  ",9,1.0
воздерживаться,от_Gen,0.6,334  ,"казнь,расстрел  ",18,0.7777777777777779
воздерживаться,от_Gen,0.6,608  ,"маргинализация,криминализация  ",12,0.6666666666666666
воздерживаться,от_Gen,0.6,339  ,"воспроизведение,отображение  ",9,0.5
воздерживаться,от_Gen,0.6,418  ,"преступность,коррупция  ",12,0.5
воздерживаться,от_Gen,0.6,711  ,"торможение,разгон  ",5,1.0
воздерживаться,от_Gen,0.6,790  ,"слежка,прослушка  ",4,0.5
воздерживаться,от_Gen,0.6,538  ,"изъятие,конфискация  ",5,0.5
воздерживаться,от_Gen,0.6,656  ,"переселение,заселение  ",7,1.0
воздерживаться,от_Gen,0.6,776  ,"банальность,пошлость  ",4,0.5
воздерживаться,от_Gen,0.6,592  ,"чай,кофе  ",6,1.0
воздерживаться,от_Gen,0.6,602  ,"штемпель,штамп  ",5,0.6666666666666666
воздерживаться,от_Gen,0.6,778  ,"настроение,настрой  ",3,0.5
воздерживаться,от_Gen,0.6,519  ,"увязка,привязка  ",4,0.5
воздерживаться,от_Gen,0.6,695  ,"гипноз,внушение  ",3,0.5
воздерживаться,от_Gen,0.6,493  ,"имущество,собственность  ",4,0.6000000000000001
воздерживаться,от_Gen,0.6,410  ,"таинство,крещение  ",3,0.5
воздерживаться,от_Gen,0.6,571  ,"метафора,аллегория  ",2,0.5
воздерживаться,от_Gen,0.6,724  ,"полив,орошение  ",1,0.5
воздерживаться,от_Gen,0.6,748  ,"сканирование,считывание  ",1,0.5
воздерживаться,от_Gen,0.6,769  ,"красноречие,остроумие  ",1,0.5
воздерживаться,от_Gen,0.6,509  ,"укол,инъекция  ",2,0.5
воздерживаться,от_Gen,0.6,554  ,"посадка,высадка  ",2,0.5
воздерживаться,от_Gen,0.6,744  ,"перестановка,рокировка  ",1,0.5
воздерживаться,от_Gen,0.6,771  ,"поблажка,послабление  ",1,0.5
воздерживаться,от_Gen,0.6,697  ,"прославление,восхваление  ",1,0.5
воздерживаться,от_Gen,0.6,789  ,"сокрытие,уклонение  ",1,0.5
воздерживаться,от_Gen,0.6,699  ,"действо,зрелище  ",1,0.5
воздерживаться,от_Gen,0.6,703  ,"расслабление,разрядка  ",1,0.5
воздерживаться,NO_Nom  от_Gen,0.141,-  741  ,"-  искушение,соблазн  ",2,0.5
воздерживаться,в_Loc,0.003,556  ,"просмотр,чтение  ",2,0.5
воздерживаться,NO_Gen,0.001,741  ,"искушение,соблазн  ",1,0.5
внушать,NO_Acc,0.344,354  ,"уважение,доверие  ",1339,0.5
внушать,NO_Acc,0.344,53  ,"гнев,ярость  ",308,0.5000000000000002
внушать,NO_Acc,0.344,320  ,"значение,значимость  ",34,0.6666666666666667
внушать,NO_Acc,0.344,550  ,"угроза,опасность  ",11,0.5
внушать,NO_Acc,0.344,780  ,"неизбежность,неотвратимость  ",6,0.5
внушать,NO_Acc,0.344,778  ,"настроение,настрой  ",8,1.0
внушать,NO_Acc,0.344,484  ,"предрассудок,стереотип  ",4,0.6000000000000001
внушать,NO_Acc,0.344,566  ,"возмущение,негодование  ",2,0.5
внушать,NO_Acc,0.344,794  ,"уникальность,оригинальность  ",1,0.5
внушать,NO_Acc,0.344,755  ,"минимум,максимум  ",1,0.5
внушать,NO_Acc,0.344,741  ,"искушение,соблазн  ",1,0.5
внушать,NO_Acc,0.344,782  ,"неповиновение,неподчинение  ",1,0.5
внушать,NO_Nom  NO_Acc,0.185,473  6  ,"итог,результат  удовольствие,радость  ",76,0.523696682464455
внушать,NO_Nom  NO_Acc,0.185,778  6  ,"настроение,настрой  удовольствие,радость  ",6,0.5071090047393365
внушать,NO_Acc  NO_Dat,0.094,720  8  ,"выдумка,вымысел  человек,женщина  ",2,0.5045045045045045
внушать,NO_Nom,0.077,488  ,"пропагандист,идеолог  ",6,0.6000000000000001
внушать,NO_Nom,0.077,720  ,"выдумка,вымысел  ",2,0.5
внушать,NO_Nom,0.077,550  ,"угроза,опасность  ",3,0.5
внушать,NO_Nom,0.077,708  ,"авантюристка,шпионка  ",1,0.5
внушать,NO_Nom,0.077,737  ,"флора,фауна  ",1,0.5
внушать,NO_Nom,0.077,704  ,"пройдоха,хитрец  ",1,0.5
внушать,NO_Nom,0.077,714  ,"пешка,ферзь  ",1,0.5
внушать,NO_Nom,0.077,735  ,"гид,экскурсовод  ",2,1.0
внушать,NO_Dat,0.075,443  ,"пациент,больной  ",7,0.5
внушать,в_Loc,0.005,778  ,"настроение,настрой  ",1,0.5
внушать,в_Loc,0.005,695  ,"гипноз,внушение  ",1,0.5
