Verb,Model,ModelSize,Indices,Examples,Size,Coverage
запасать,NO_Acc,0.251,543  ,"продукт,товар  ",31,0.5
запасать,NO_Acc,0.251,380  ,"резерв,запас  ",35,0.857142857142857
запасать,NO_Acc,0.251,784  ,"электричество,электроэнергия  ",3,1.0
запасать,NO_Acc,0.251,755  ,"минимум,максимум  ",1,0.5
запасать,на_Loc,0.009,711  ,"торможение,разгон  ",1,0.5
дезинфицировать,NO_Acc,0.565,184  ,"рана,шрам  ",101,0.5
дезинфицировать,NO_Acc,0.565,540  ,"игла,иголка  ",5,0.5
дезинфицировать,NO_Acc,0.565,543  ,"продукт,товар  ",3,0.5
брить,на_Acc,0.005,763  ,"манер,лад  ",2,1.0
афишировать,NO_Acc,0.805,466  ,"способность,умение  ",6,0.8
афишировать,NO_Acc,0.805,622  ,"неудача,провал  ",5,0.6666666666666666
афишировать,NO_Acc,0.805,629  ,"мера,степень  ",3,0.6666666666666666
афишировать,на_Acc,0.005,763  ,"манер,лад  ",1,0.5
громыхать,NO_Nom,0.257,633  ,"гром,раскат  ",37,1.0
громыхать,NO_Nom,0.257,523  ,"фейерверк,салют  ",3,0.5
громыхать,NO_Nom,0.257,699  ,"действо,зрелище  ",1,0.5
громыхать,NO_Ins,0.225,633  ,"гром,раскат  ",5,1.0
громыхать,NO_Ins,0.225,759  ,"чешуя,чешуйка  ",1,0.5
громыхать,NO_Ins,0.225,773  ,"экспрессия,эмоциональность  ",1,0.5
громыхать,на_Loc,0.033,426  ,"ухаб,кочка  ",9,0.5
