Verb,Model,ModelSize,Indices,Examples,Size,Coverage
жить,в_Loc,0.308,0  ,"дом,здание  ",28361,0.5888888888888882
жить,в_Loc,0.308,3  ,"страна,регион  ",45369,0.6968085106382983
жить,в_Loc,0.308,118  ,"ситуация,случай  ",10720,0.6363636363636364
жить,в_Loc,0.308,541  ,"нищета,бедность  ",2857,0.75
жить,в_Loc,0.308,21  ,"гора,холм  ",6071,0.5885167464114849
жить,в_Loc,0.308,216  ,"отель,гостиница  ",2055,0.7857142857142855
жить,в_Loc,0.308,161  ,"часть,половина  ",1025,0.5238095238095237
жить,в_Loc,0.308,346  ,"душа,сердце  ",994,0.625
жить,в_Loc,0.308,297  ,"начало,конец  ",1156,0.5
жить,в_Loc,0.308,35  ,"храм,церковь  ",1279,0.5178571428571427
жить,в_Loc,0.308,674  ,"миграция,иммиграция  ",455,0.6666666666666666
жить,в_Loc,0.308,395  ,"благо,благополучие  ",446,0.9999999999999998
жить,в_Loc,0.308,122  ,"музей,галерея  ",606,0.6666666666666667
жить,в_Loc,0.308,164  ,"тюрьма,колония  ",1214,0.8333333333333336
жить,в_Loc,0.308,105  ,"больница,госпиталь  ",518,0.7200000000000001
жить,в_Loc,0.308,548  ,"рай,ад  ",538,1.0
жить,в_Loc,0.308,436  ,"перспектива,будущее  ",483,0.6666666666666666
жить,в_Loc,0.308,238  ,"мысль,воспоминание  ",305,0.6153846153846154
жить,в_Loc,0.308,451  ,"контекст,рамка  ",228,0.5
жить,в_Loc,0.308,763  ,"манер,лад  ",192,0.5
жить,в_Loc,0.308,203  ,"школа,класс  ",320,0.6
жить,в_Loc,0.308,174  ,"сущность,смысл  ",253,0.5294117647058824
жить,в_Loc,0.308,265  ,"нора,гнездо  ",401,0.7272727272727274
жить,в_Loc,0.308,311  ,"местоположение,расположение  ",220,0.5555555555555556
жить,в_Loc,0.308,643  ,"незнание,невежество  ",126,1.0
жить,в_Loc,0.308,445  ,"колхоз,совхоз  ",176,0.8333333333333333
жить,в_Loc,0.308,446  ,"бассейн,баня  ",117,0.8333333333333333
жить,в_Loc,0.308,143  ,"сеть,интернет  ",175,0.5263157894736842
жить,в_Loc,0.308,407  ,"губерния,уезд  ",120,0.5714285714285714
жить,в_Loc,0.308,152  ,"сотня,десяток  ",80,0.5555555555555557
жить,в_Loc,0.308,344  ,"дрянь,гадость  ",51,0.5
жить,в_Loc,0.308,309  ,"единство,единение  ",68,0.5555555555555556
жить,в_Loc,0.308,101  ,"магазин,салон  ",146,0.6000000000000001
жить,в_Loc,0.308,150  ,"волна,поток  ",78,0.5000000000000001
жить,в_Loc,0.308,653  ,"развалина,руина  ",58,1.0
жить,в_Loc,0.308,546  ,"убежище,укрытие  ",44,1.0
жить,в_Loc,0.308,668  ,"зависимость,соответствие  ",40,0.6666666666666666
жить,в_Loc,0.308,447  ,"облик,черта  ",45,0.5
жить,в_Loc,0.308,151  ,"социализм,демократия  ",80,0.5000000000000001
