Verb,Model,ModelSize,Indices,Examples,Size,Coverage
закрывать,NO_Acc,0.394,4  ,"нога,рука  ",43407,0.5686274509803912
закрывать,NO_Acc,0.394,23  ,"окно,дверь  ",28218,0.6428571428571425
закрывать,NO_Acc,0.394,498  ,"граница,предел  ",2065,0.8
закрывать,NO_Acc,0.394,273  ,"проблема,вопрос  ",2478,0.5263157894736842
закрывать,NO_Acc,0.394,203  ,"школа,класс  ",957,0.7333333333333333
закрывать,NO_Acc,0.394,161  ,"часть,половина  ",1068,0.6190476190476191
закрывать,NO_Acc,0.394,101  ,"магазин,салон  ",1277,0.7714285714285716
закрывать,NO_Acc,0.394,497  ,"выход,вход  ",1132,0.8
закрывать,NO_Acc,0.394,181  ,"сайт,страница  ",1221,0.6470588235294118
закрывать,NO_Acc,0.394,64  ,"компания,фирма  ",1663,0.6400000000000002
закрывать,NO_Acc,0.394,70  ,"станция,вокзал  ",1232,0.7222222222222224
закрывать,NO_Acc,0.394,87  ,"телеканал,канал  ",717,0.5862068965517242
закрывать,NO_Acc,0.394,110  ,"отверстие,щель  ",1390,0.8749999999999997
закрывать,NO_Acc,0.394,241  ,"основа,основание  ",408,0.6153846153846154
закрывать,NO_Acc,0.394,59  ,"путь,дорога  ",991,0.6000000000000002
закрывать,NO_Acc,0.394,139  ,"труба,трубка  ",437,0.7368421052631577
закрывать,NO_Acc,0.394,112  ,"производство,поставка  ",395,0.5
закрывать,NO_Acc,0.394,0  ,"дом,здание  ",2115,0.5000000000000006
закрывать,NO_Acc,0.394,301  ,"рудник,шахта  ",268,0.8888888888888891
закрывать,NO_Acc,0.394,137  ,"кафе,ресторан  ",484,0.7000000000000001
закрывать,NO_Acc,0.394,359  ,"мусор,хлам  ",175,0.5
закрывать,NO_Acc,0.394,50  ,"шкаф,ящик  ",761,0.7173913043478257
закрывать,NO_Acc,0.394,105  ,"больница,госпиталь  ",301,0.7600000000000001
закрывать,NO_Acc,0.394,122  ,"музей,галерея  ",331,0.6666666666666667
закрывать,NO_Acc,0.394,292  ,"занавеска,штора  ",312,0.8999999999999999
закрывать,NO_Acc,0.394,355  ,"выставка,ярмарка  ",283,0.75
закрывать,NO_Acc,0.394,86  ,"сумка,чемодан  ",338,0.5666666666666667
закрывать,NO_Acc,0.394,109  ,"точка,сторона  ",307,0.5
закрывать,NO_Acc,0.394,283  ,"процесс,процедура  ",155,0.5
закрывать,NO_Acc,0.394,184  ,"рана,шрам  ",155,0.75
закрывать,NO_Acc,0.394,474  ,"тетрадка,тетрадь  ",200,1.0
закрывать,NO_Acc,0.394,143  ,"сеть,интернет  ",238,0.5789473684210527
закрывать,NO_Acc,0.394,352  ,"клапан,вентиль  ",256,1.0
закрывать,NO_Acc,0.394,654  ,"пост,должность  ",101,1.0
закрывать,NO_Acc,0.394,346  ,"душа,сердце  ",114,0.625
закрывать,NO_Acc,0.394,628  ,"сервис,услуга  ",77,1.0
закрывать,NO_Acc,0.394,266  ,"окоп,блиндаж  ",79,0.5454545454545455
закрывать,NO_Acc,0.394,258  ,"университет,институт  ",312,0.6666666666666666
закрывать,NO_Acc,0.394,338  ,"задача,цель  ",119,0.75
закрывать,NO_Acc,0.394,388  ,"могила,кладбище  ",105,0.5714285714285714
закрывать,NO_Acc,0.394,278  ,"стадион,арена  ",81,0.5454545454545455
закрывать,NO_Acc,0.394,362  ,"отсек,кабина  ",111,0.75
закрывать,NO_Acc,0.394,196  ,"список,перечень  ",111,0.5333333333333333
закрывать,NO_Acc,0.394,153  ,"фонарь,лампа  ",68,0.5000000000000001
закрывать,NO_Acc,0.394,123  ,"поверхность,слой  ",81,0.6190476190476191
закрывать,NO_Acc,0.394,423  ,"колодец,скважина  ",60,0.8333333333333333
закрывать,NO_Acc,0.394,621  ,"карточка,карта  ",38,0.6666666666666666
закрывать,NO_Acc,0.394,239  ,"модуль,блок  ",102,0.6153846153846154
закрывать,NO_Acc,0.394,560  ,"сундук,шкатулка  ",71,1.0
закрывать,NO_Acc,0.394,636  ,"зонтик,зонт  ",64,1.0
закрывать,NO_Acc,0.394,152  ,"сотня,десяток  ",111,0.6111111111111113
закрывать,NO_Acc,0.394,469  ,"ферма,ранчо  ",30,0.6000000000000001
закрывать,NO_Acc,0.394,386  ,"гробница,склеп  ",59,0.857142857142857
закрывать,NO_Acc,0.394,446  ,"бассейн,баня  ",50,0.6666666666666666
закрывать,NO_Acc,0.394,353  ,"памятник,монумент  ",33,0.625
закрывать,NO_Acc,0.394,584  ,"скобка,кавычка  ",23,0.6666666666666666
закрывать,NO_Acc,0.394,265  ,"нора,гнездо  ",35,0.8181818181818183
закрывать,NO_Acc,0.394,396  ,"фигура,фигурка  ",27,0.7142857142857142
