Verb,Model,ModelSize,Indices,Examples,Size,Coverage
воскресать,NO_Nom,0.398,-  ,-  ,574,0.0
воскресать,NO_Nom,0.398,37  ,"сознание,разум  ",114,0.12962962962962962
воскресать,NO_Nom,0.398,6  ,"удовольствие,радость  ",52,0.037914691943127965
воскресать,NO_Nom,0.398,8  ,"человек,женщина  ",37,0.08108108108108109
воскресать,NO_Nom,0.398,12  ,"отец,брат  ",46,0.07389162561576354
воскресать,в_Loc,0.072,4  ,"нога,рука  ",33,0.0196078431372549
воскресать,в_Loc,0.072,3  ,"страна,регион  ",23,0.0425531914893617
воскресать,в_Loc,0.072,-  ,-  ,21,0.0
воскресать,из_Gen,0.042,-  ,-  ,38,0.0
воскресать,из_Gen,0.042,7  ,"луч,свет  ",32,0.03401360544217687
воскресать,из_Gen,0.042,237  ,"пыль,грязь  ",24,0.23076923076923078
воскресать,NO_Ins,0.038,141  ,"способ,метод  ",33,0.10526315789473684
воскресать,после_Gen,0.035,351  ,"смерть,гибель  ",70,0.5
воскресать,в_Acc,0.03,14  ,"день,время  ",72,0.08695652173913045
воскресать,на_Acc,0.019,14  ,"день,время  ",47,0.036231884057971016
воскресать,к_Dat,0.012,3  ,"страна,регион  ",29,0.010638297872340425
грезить,о_Loc,0.282,3  ,"страна,регион  ",79,0.1063829787234042
грезить,о_Loc,0.282,6  ,"удовольствие,радость  ",51,0.047393364928909956
грезить,о_Loc,0.282,78  ,"заседание,совещание  ",24,0.056338028169014086
грезить,о_Loc,0.282,436  ,"перспектива,будущее  ",26,0.5
грезить,о_Loc,0.282,20  ,"император,царь  ",20,0.039473684210526314
грезить,о_Loc,0.282,8  ,"человек,женщина  ",32,0.10810810810810813
грезить,о_Loc,0.282,-  ,-  ,100,0.0
грезить,о_Loc,0.282,14  ,"день,время  ",22,0.07246376811594203
грезить,о_Loc,0.282,57  ,"визит,поездка  ",22,0.1566265060240964
грезить,о_Loc,0.282,12  ,"отец,брат  ",29,0.083743842364532
грезить,NO_Ins,0.158,14  ,"день,время  ",42,0.06521739130434782
грезить,NO_Ins,0.158,-  ,-  ,47,0.0
грезить,NO_Ins,0.158,3  ,"страна,регион  ",28,0.06382978723404255
грезить,NO_Ins,0.158,18  ,"война,бой  ",23,0.10416666666666667
грезить,NO_Nom,0.119,8  ,"человек,женщина  ",57,0.12612612612612614
грезить,NO_Nom,0.119,-  ,-  ,87,0.0
грезить,NO_Nom,0.119,12  ,"отец,брат  ",29,0.09359605911330046
грезить,NO_Nom,0.119,40  ,"представитель,руководитель  ",20,0.0558659217877095
грезить,в_Loc,0.032,14  ,"день,время  ",32,0.036231884057971016
грезить,NO_Acc,0.028,3  ,"страна,регион  ",22,0.005319148936170213
грезить,NO_Acc,0.028,14  ,"день,время  ",47,0.07246376811594203
грезить,с_Gen,0.012,3  ,"страна,регион  ",22,0.010638297872340425
глушить,NO_Acc,0.449,66  ,"двигатель,мотор  ",219,0.16666666666666666
глушить,NO_Acc,0.449,412  ,"сигнал,импульс  ",101,0.5
глушить,NO_Acc,0.449,116  ,"рыба,рыбка  ",65,0.13636363636363635
глушить,NO_Acc,0.449,117  ,"отношение,связь  ",51,0.09090909090909091
глушить,NO_Acc,0.449,77  ,"вино,пиво  ",97,0.5
глушить,NO_Acc,0.449,15  ,"звук,шум  ",63,0.08536585365853658
глушить,NO_Acc,0.449,113  ,"темп,скорость  ",26,0.17391304347826086
глушить,NO_Acc,0.449,26  ,"боль,усталость  ",20,0.04838709677419355
глушить,NO_Acc,0.449,87  ,"телеканал,канал  ",70,0.3793103448275863
глушить,NO_Acc,0.449,6  ,"удовольствие,радость  ",44,0.0900473933649289
глушить,NO_Acc,0.449,-  ,-  ,36,0.0
глушить,NO_Nom,0.054,-  ,-  ,24,0.0
ворочать,NO_Ins,0.437,97  ,"язык,диалект  ",345,0.037037037037037035
ворочать,NO_Ins,0.437,152  ,"сотня,десяток  ",159,0.33333333333333337
ворочать,NO_Ins,0.437,131  ,"деньга,сумма  ",82,0.2
ворочать,NO_Ins,0.437,93  ,"полиция,полицейский  ",42,0.014705882352941176
ворочать,NO_Ins,0.437,4  ,"нога,рука  ",138,0.13725490196078427
ворочать,NO_Ins,0.437,29  ,"клетка,организм  ",38,0.05
ворочать,NO_Ins,0.437,-  ,-  ,22,0.0
ворочать,NO_Acc,0.175,90  ,"камень,песок  ",100,0.21428571428571425
ворочать,NO_Acc,0.175,86  ,"сумка,чемодан  ",42,0.16666666666666666
ворочать,NO_Acc,0.175,21  ,"гора,холм  ",27,0.028708133971291867
ворочать,NO_Acc,0.175,4  ,"нога,рука  ",20,0.029411764705882353
ворочать,NO_Acc,0.175,-  ,-  ,24,0.0
ворочать,с_Ins  NO_Ins,0.062,198  97  ,"усилие,сила  язык,диалект  ",109,0.03851851851851852
ворочать,с_Ins  NO_Ins,0.062,198  4  ,"усилие,сила  нога,рука  ",22,0.03715686274509804
жалить,NO_Nom,0.236,32  ,"дракон,змея  ",105,0.14035087719298245
жалить,NO_Nom,0.236,63  ,"насекомое,муравей  ",196,0.36842105263157887
жалить,NO_Nom,0.236,12  ,"отец,брат  ",43,0.014778325123152709
жалить,NO_Acc,0.175,8  ,"человек,женщина  ",51,0.05405405405405405
жалить,NO_Acc,0.175,-  ,-  ,50,0.0
жалить,NO_Acc,0.175,4  ,"нога,рука  ",59,0.10784313725490191
жалить,в_Acc,0.112,-  ,-  ,40,0.0
жалить,в_Acc,0.112,3  ,"страна,регион  ",21,0.005319148936170213
жалить,в_Acc,0.112,4  ,"нога,рука  ",124,0.18627450980392163
жалить,NO_Ins,0.105,63  ,"насекомое,муравей  ",52,0.2894736842105263
жалить,NO_Ins,0.105,32  ,"дракон,змея  ",26,0.08771929824561403
жалить,NO_Nom  в_Acc,0.031,63  4  ,"насекомое,муравей  нога,рука  ",21,0.08694530443756449
