,1,2,3,4,5,6,7,mean
recall_models_exact,0.65,0.59,0.24,0.91,0.44,1.0,0.57,0.63
recall_models_partial,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
precision_models_exact,0.39,0.22,0.16,0.14,0.12,0.22,0.08,0.19
precision_models_partial,0.72,0.64,0.73,0.65,0.61,0.48,0.44,0.61
recall_meanings_exact,0.41,0.41,0.22,0.56,0.3,0.76,0.36,0.43
recall_meanings_partial,0.87,0.94,0.57,1.0,0.7,0.92,0.71,0.82
precision_meanings_exact,0.04,0.03,0.02,0.01,0.02,0.08,0.02,0.03
precision_meanings_partial,0.55,0.45,0.39,0.15,0.62,0.14,0.18,0.35
