Verb,Model,ModelSize,Indices,Examples,Size,Coverage
выливать,NO_Acc,0.2,-  ,-  ,392,0.0
выливать,NO_Acc,0.2,98  ,"вода,воздух  ",317,0.4074074074074074
выливать,NO_Acc,0.2,22  ,"приложение,браузер  ",90,0.014084507042253521
выливать,NO_Acc,0.2,393  ,"осколок,обломок  ",60,0.14285714285714285
выливать,NO_Acc,0.2,77  ,"вино,пиво  ",83,0.375
выливать,NO_Acc,0.2,592  ,"чай,кофе  ",40,0.6666666666666666
выливать,NO_Acc,0.2,36  ,"молоко,мясо  ",57,0.16071428571428567
выливать,NO_Acc,0.2,17  ,"чашка,стакан  ",161,0.4050632911392408
выливать,NO_Acc,0.2,6  ,"удовольствие,радость  ",64,0.10426540284360186
выливать,NO_Acc  на_Acc,0.144,-  4  ,"-  нога,рука  ",104,0.01715686274509804
выливать,NO_Acc  на_Acc,0.144,98  4  ,"вода,воздух  нога,рука  ",79,0.15413943355119825
выливать,NO_Acc  на_Acc,0.144,22  4  ,"приложение,браузер  нога,рука  ",40,0.026650096658381663
выливать,NO_Acc  на_Acc,0.144,17  4  ,"чашка,стакан  нога,рука  ",71,0.16129932985852577
выливать,NO_Acc  в_Acc,0.129,393  17  ,"осколок,обломок  чашка,стакан  ",93,0.16636528028933095
выливать,NO_Acc  в_Acc,0.129,22  4  ,"приложение,браузер  нога,рука  ",41,0.021748135874067938
выливать,NO_Acc  в_Acc,0.129,22  17  ,"приложение,браузер  чашка,стакан  ",53,0.10830807630593693
выливать,на_Acc,0.081,4  ,"нога,рука  ",266,0.08823529411764702
выливать,на_Acc,0.081,558  ,"сковородка,сковорода  ",71,0.75
выливать,на_Acc,0.081,-  ,-  ,55,0.0
выливать,в_Acc,0.073,0  ,"дом,здание  ",117,0.051851851851851836
выливать,в_Acc,0.073,17  ,"чашка,стакан  ",153,0.43037974683544333
выливать,в_Acc,0.073,4  ,"нога,рука  ",42,0.05392156862745097
выливать,в_Acc,0.073,21  ,"гора,холм  ",41,0.06698564593301434
выливать,в_Acc,0.073,-  ,-  ,63,0.0
выливать,из_Gen  NO_Acc,0.034,102  98  ,"ботинок,сапог  вода,воздух  ",77,0.22863247863247863
выливать,из_Gen  NO_Acc,0.034,17  98  ,"чашка,стакан  вода,воздух  ",42,0.17580872011251764
выливать,NO_Nom,0.03,-  ,-  ,148,0.0
грызть,NO_Acc,0.584,16  ,"дерево,куст  ",1046,0.32075471698113206
грызть,NO_Acc,0.584,58  ,"кожа,волос  ",443,0.15
грызть,NO_Acc,0.584,90  ,"камень,песок  ",398,0.24999999999999994
грызть,NO_Acc,0.584,376  ,"орех,семечко  ",279,0.857142857142857
грызть,NO_Acc,0.584,33  ,"овощ,фрукт  ",210,0.3508771929824561
грызть,NO_Acc,0.584,318  ,"кость,череп  ",140,0.6666666666666667
грызть,NO_Acc,0.584,21  ,"гора,холм  ",75,0.028708133971291867
грызть,NO_Acc,0.584,36  ,"молоко,мясо  ",128,0.32142857142857134
грызть,NO_Acc,0.584,155  ,"ручка,рукоятка  ",77,0.2777777777777778
грызть,NO_Acc,0.584,-  ,-  ,292,0.0
грызть,NO_Acc,0.584,4  ,"нога,рука  ",248,0.2843137254901961
грызть,NO_Acc,0.584,346  ,"душа,сердце  ",72,0.375
грызть,NO_Acc,0.584,28  ,"стол,столик  ",43,0.12000000000000001
грызть,NO_Acc,0.584,29  ,"клетка,организм  ",48,0.15
грызть,NO_Acc,0.584,14  ,"день,время  ",50,0.07971014492753624
грызть,NO_Acc,0.584,221  ,"конфета,сладость  ",53,0.8571428571428569
грызть,NO_Acc,0.584,0  ,"дом,здание  ",40,0.05555555555555554
грызть,NO_Nom,0.087,37  ,"сознание,разум  ",66,0.05555555555555555
грызть,NO_Nom,0.087,12  ,"отец,брат  ",69,0.06403940886699508
