Verb,Model,ModelSize,Indices,Examples,Size,Coverage,VerbMeaning
добираться,до_Gen,0.536,"-  ","-  ",8705,0.0,
добираться,до_Gen,0.536,"0  ","дом,здание  ",7913,0.7259259259259234,1
добираться,до_Gen,0.536,"3  ","страна,регион  ",7796,0.5638297872340421,1
добираться,до_Gen,0.536,"21  ","гора,холм  ",6007,0.789473684210529,1
добираться,до_Gen,0.536,"61  ","матч,игра  ",1821,0.28205128205128205,1
добираться,до_Gen,0.536,"23  ","окно,дверь  ",1545,0.5999999999999998,1
добираться,до_Gen,0.536,"70  ","станция,вокзал  ",1437,0.6388888888888891,1
добираться,до_Gen,0.536,"28  ","стол,столик  ",1288,0.6399999999999993,1
добираться,до_Gen,0.536,"4  ","нога,рука  ",833,0.4362745098039211,
добираться,на_Loc,0.015,"79  ","поезд,автобус  ",752,0.5483870967741933,1
добираться,до_Gen,0.536,"216  ","отель,гостиница  ",746,0.9285714285714283,1
добираться,в_Loc  NO_Nom  до_Gen,0.012,"297  14  -  ","начало,конец  день,время  -  ",703,0.035748792270531404,
добираться,до_Gen,0.536,"9  ","корабль,судно  ",653,0.44247787610619516,1
добираться,до_Gen,0.536,"338  ","задача,цель  ",634,0.5,2.1
добираться,до_Gen,0.536,"60  ","ученик,студент  ",631,0.3333333333333334,
добираться,NO_Nom,0.026,"-  ","-  ",628,0.0,
добираться,до_Gen  NO_Nom,0.091,"-  -  ","-  -  ",616,0.0,
добираться,до_Gen,0.536,"10  ","машина,автомобиль  ",592,0.3854166666666668,1
добираться,до_Gen,0.536,"105  ","больница,госпиталь  ",578,0.8400000000000002,1
добираться,до_Gen,0.536,"109  ","точка,сторона  ",564,0.5416666666666666,
добираться,до_Gen,0.536,"297  ","начало,конец  ",564,0.6,2.2
добираться,до_Gen,0.536,"101  ","магазин,салон  ",495,0.8571428571428573,1
добираться,до_Gen,0.536,"80  ","создание,разработка  ",491,0.0851063829787234,2.1
добираться,до_Gen,0.536,"73  ","журнал,газета  ",484,0.3076923076923076,2.1 2.2
добираться,до_Gen,0.536,"59  ","путь,дорога  ",467,0.5750000000000002,
добираться,до_Gen  NO_Nom,0.091,"0  -  ","дом,здание  -  ",396,0.13333333333333347,
добираться,на_Loc,0.015,"10  ","машина,автомобиль  ",392,0.3125,1
добираться,до_Par,0.003,"0  ","дом,здание  ",390,0.003703703703703704,
добираться,до_Gen,0.536,"13  ","генерал,полковник  ",386,0.3285024154589373,1
добираться,до_Gen,0.536,"12  ","отец,брат  ",382,0.29556650246305394,1
добираться,до_Gen,0.536,"16  ","дерево,куст  ",382,0.4245283018867924,1
добираться,до_Gen,0.536,"45  ","телефон,компьютер  ",368,0.42647058823529416,1
добираться,в_Acc,0.012,"-  ","-  ",365,0.0,
добираться,в_Acc,0.012,"3  ","страна,регион  ",365,0.18085106382978725,1
добираться,до_Gen,0.536,"8  ","человек,женщина  ",352,0.3963963963963966,1
добираться,до_Gen,0.536,"174  ","сущность,смысл  ",345,0.411764705882353,3
добираться,до_Gen,0.536,"7  ","луч,свет  ",339,0.30612244897959195,
добираться,до_Gen,0.536,"14  ","день,время  ",337,0.33333333333333315,
добираться,в_Acc  на_Loc,0.005,"203  10  ","школа,класс  машина,автомобиль  ",335,0.03854166666666667,1
добираться,до_Gen,0.536,"40  ","представитель,руководитель  ",334,0.307262569832402,2.1
добираться,до_Gen,0.536,"498  ","граница,предел  ",329,0.6000000000000001,1 2.2
добираться,до_Gen,0.536,"241  ","основа,основание  ",327,0.6153846153846154,
добираться,до_Gen,0.536,"35  ","храм,церковь  ",326,0.6071428571428572,1
добираться,до_Gen,0.536,"497  ","выход,вход  ",325,1.0,
добираться,до_Gen  на_Loc,0.024,"21  9  ","гора,холм  корабль,судно  ",311,0.12677308718296143,1
добираться,на_Acc,0.008,"21  ","гора,холм  ",304,0.09090909090909088,1
добираться,на_Acc,0.008,"80  ","создание,разработка  ",302,0.02127659574468085,
добираться,NO_Ins,0.01,"79  ","поезд,автобус  ",290,0.32258064516129026,1
добираться,через_Acc,0.005,"3  ","страна,регион  ",287,0.06382978723404255,
добираться,NO_Ins  до_Gen,0.02,"21  -  ","гора,холм  -  ",281,0.014354066985645933,
добираться,до_Gen,0.536,"210  ","ступенька,лестница  ",266,0.4666666666666666,1
добираться,до_Gen,0.536,"161  ","часть,половина  ",255,0.5238095238095237,
добираться,до_Gen,0.536,"64  ","компания,фирма  ",249,0.5600000000000002,2.1
добираться,до_Gen,0.536,"50  ","шкаф,ящик  ",249,0.6739130434782605,
добираться,до_Gen  на_Loc,0.024,"-  79  ","-  поезд,автобус  ",248,0.20967741935483863,
добираться,до_Gen,0.536,"164  ","тюрьма,колония  ",245,0.44444444444444453,1
добираться,до_Gen,0.536,"259  ","уровень,показатель  ",244,0.25,2.2
добираться,до_Gen,0.536,"137  ","кафе,ресторан  ",243,0.7500000000000001,1
добираться,до_Gen  NO_Nom,0.091,"3  -  ","страна,регион  -  ",240,0.09042553191489362,
добираться,до_Gen,0.536,"203  ","школа,класс  ",229,0.6,1
добираться,на_Loc,0.015,"-  ","-  ",228,0.0,
добираться,из_Gen  в_Acc,0.004,"-  -  ","-  -  ",225,0.0,
добираться,к_Dat,0.009,"14  ","день,время  ",217,0.17391304347826092,
добираться,до_Gen  по_Dat,0.009,"-  21  ","-  гора,холм  ",215,0.014354066985645933,
добираться,до_Gen  NO_Nom,0.091,"21  -  ","гора,холм  -  ",208,0.12440191387559803,
добираться,из_Gen  до_Gen,0.007,"-  -  ","-  -  ",207,0.0,
добираться,до_Gen,0.536,"118  ","ситуация,случай  ",207,0.40909090909090917,
добираться,до_Gen,0.536,"34  ","слово,мнение  ",204,0.2272727272727272,
добираться,до_Gen,0.536,"29  ","клетка,организм  ",203,0.39999999999999997,
добираться,до_Gen,0.536,"123  ","поверхность,слой  ",201,0.6190476190476191,
добираться,до_Gen,0.536,"11  ","преступник,убийца  ",191,0.37037037037037,
добираться,до_Gen,0.536,"20  ","император,царь  ",190,0.32894736842105265,
добираться,до_Gen,0.536,"133  ","правда,ложь  ",189,0.1,3
добираться,из_Gen,0.004,"-  ","-  ",183,0.0,
добираться,до_Gen,0.536,"346  ","душа,сердце  ",183,0.75,
добираться,до_Gen,0.536,"79  ","поезд,автобус  ",182,0.41935483870967727,
добираться,до_Gen  через_Acc,0.006,"-  -  ","-  -  ",181,0.0,
добираться,до_Gen,0.536,"54  ","врач,медик  ",179,0.16666666666666666,
добираться,до_Gen  на_Loc,0.024,"3  79  ","страна,регион  поезд,автобус  ",176,0.27882635552505136,1
добираться,по_Dat,0.006,"59  ","путь,дорога  ",175,0.47500000000000014,
добираться,до_Gen  NO_Nom,0.091,"61  -  ","матч,игра  -  ",175,0.10256410256410255,
добираться,в_Acc  по_Dat,0.002,"-  21  ","-  гора,холм  ",175,0.007177033492822966,
добираться,в_Loc  до_Gen,0.013,"79  -  ","поезд,автобус  -  ",173,0.08064516129032258,
добираться,из_Gen  до_Gen,0.007,"3  3  ","страна,регион  страна,регион  ",170,0.05319148936170213,1
добираться,до_Gen  NO_Nom,0.091,"61  25  ","матч,игра  команда,группа  ",170,0.19230769230769235,1
добираться,до_Gen,0.536,"98  ","вода,воздух  ",169,0.18518518518518517,
добираться,до_Gen,0.536,"248  ","мост,переправа  ",163,0.8333333333333334,1
добираться,до_Gen,0.536,"546  ","убежище,укрытие  ",161,1.0,1
добираться,до_Gen,0.536,"198  ","усилие,сила  ",157,0.6,
добираться,NO_Ins,0.01,"-  ","-  ",156,0.0,
добираться,до_Gen,0.536,"89  ","данные,информация  ",156,0.255813953488372,2.1
добираться,к_Dat,0.009,"3  ","страна,регион  ",155,0.05319148936170213,
добираться,NO_Nom,0.026,"8  ","человек,женщина  ",155,0.24324324324324315,1 2.1 2.2 3
добираться,NO_Ins,0.01,"14  ","день,время  ",149,0.10144927536231886,
добираться,до_Gen,0.536,"122  ","музей,галерея  ",148,0.7142857142857144,1
добираться,до_Gen,0.536,"194  ","клиент,покупатель  ",137,0.49999999999999994,
добираться,до_Gen,0.536,"214  ","причина,повод  ",136,0.3571428571428571,
добираться,NO_Ins,0.01,"473  ","итог,результат  ",136,0.2,
добираться,на_Loc,0.015,"9  ","корабль,судно  ",131,0.22123893805309747,1
добираться,до_Gen,0.536,"84  ","оружие,пистолет  ",130,0.36666666666666664,2.1
добираться,NO_Nom  в_Acc  через_Acc,0.001,"213  -  -  ","мигрант,беженец  -  -  ",130,0.022222222222222223,
добираться,NO_Ins,0.01,"59  ","путь,дорога  ",130,0.1,
добираться,до_Gen,0.536,"278  ","стадион,арена  ",128,0.7272727272727274,1
добираться,до_Gen,0.536,"226  ","движение,перемещение  ",128,0.2857142857142857,
добираться,до_Gen,0.536,"469  ","ферма,ранчо  ",125,1.0,1
добираться,до_Gen,0.536,"265  ","нора,гнездо  ",124,1.0000000000000002,1
добираться,до_Gen,0.536,"1  ","животное,собака  ",123,0.26865671641791056,
добираться,без_Gen,0.003,"57  ","визит,поездка  ",122,0.012048192771084338,
добираться,до_Gen,0.536,"266  ","окоп,блиндаж  ",122,0.6363636363636365,1
добираться,до_Gen,0.536,"398  ","стоянка,парковка  ",120,0.857142857142857,1
добираться,до_Gen,0.536,"413  ","пристань,причал  ",120,0.9999999999999999,1
добираться,до_Gen,0.536,"104  ","число,количество  ",117,0.3333333333333333,
добираться,до_Gen,0.536,"30  ","система,механизм  ",117,0.3,2.1
добираться,из_Gen,0.004,"3  ","страна,регион  ",116,0.11170212765957441,1
добираться,за_Acc,0.001,"14  ","день,время  ",115,0.11594202898550728,
добираться,NO_Nom,0.026,"12  ","отец,брат  ",114,0.20689655172413776,1 2.1 2.2 3
добираться,NO_Ins  до_Gen,0.02,"79  -  ","поезд,автобус  -  ",113,0.16129032258064513,
добираться,NO_Nom,0.026,"13  ","генерал,полковник  ",113,0.19806763285024137,1 2.1 2.2 3
добираться,в_Acc,0.012,"14  ","день,время  ",112,0.21739130434782616,
добираться,до_Gen  NO_Nom,0.091,"0  8  ","дом,здание  человек,женщина  ",111,0.155955955955956,1
добираться,до_Gen,0.536,"25  ","команда,группа  ",111,0.26923076923076933,
добираться,до_Gen,0.536,"145  ","высота,расстояние  ",110,0.20689655172413796,2.2
добираться,до_Gen  на_Loc,0.024,"0  79  ","дом,здание  поезд,автобус  ",110,0.23930704898446825,1
добираться,NO_Nom,0.026,"93  ","полиция,полицейский  ",108,0.3382352941176471,1 2.1 2.2
добираться,по_Dat,0.006,"21  ","гора,холм  ",107,0.12918660287081335,
