Verb,Model,ModelSize,Indices,Examples,Size,Coverage,VerbMeaning
запасать,NO_Acc,0.251,"198  ","усилие,сила  ",60,0.16,1
запасать,на_Acc,0.04,"14  ","день,время  ",45,0.072463768,1
запасать,NO_Acc,0.251,"380  ","резерв,запас  ",35,0.857142857,1
запасать,NO_Acc,0.251,"-  ","-  ",34,0,
запасать,NO_Acc,0.251,"29  ","клетка,организм  ",33,0.083333333,
запасать,NO_Acc,0.251,"543  ","продукт,товар  ",31,0.5,1
запасать,NO_Acc,0.251,"98  ","вода,воздух  ",31,0.111111111,1
запасать,NO_Acc,0.251,"186  ","еда,пища  ",31,0.1875,1
запасать,NO_Acc,0.251,"104  ","число,количество  ",30,0.066666667,
запасать,в_Loc,0.12,"29  ","клетка,организм  ",20,0.116666667,
запасать,в_Loc,0.12,"-  ","-  ",19,0,
запасать,в_Loc,0.12,"489  ","аккумулятор,батарея  ",18,0.4,
запасать,в_Loc,0.12,"21  ","гора,холм  ",17,0.033492823,
запасать,NO_Acc,0.251,"483  ","дрова,полено  ",14,0.2,1
запасать,с_Gen,0.009,"14  ","день,время  ",12,0.036231884,
запасать,NO_Gen,0.059,"186  ","еда,пища  ",12,0.1875,1
запасать,в_Loc,0.12,"104  ","число,количество  ",11,0.066666667,
запасать,NO_Gen,0.059,"36  ","молоко,мясо  ",10,0.053571429,1
запасать,NO_Gen,0.059,"483  ","дрова,полено  ",10,0.2,1
запасать,NO_Nom,0.046,"-  ","-  ",10,0,
запасать,на_Acc  NO_Acc,0.049,"14  -  ","день,время  -  ",10,0.007246377,
запасать,на_Acc  NO_Acc,0.049,"14  483  ","день,время  дрова,полено  ",10,0.103623188,
запасать,на_Acc,0.04,"118  ","ситуация,случай  ",10,0.045454545,1
запасать,NO_Acc,0.251,"85  ","газ,топливо  ",10,0.133333333,1
запасать,NO_Gen,0.059,"98  ","вода,воздух  ",9,0.037037037,
запасать,NO_Acc,0.251,"192  ","вещество,кислота  ",9,0.0625,1
запасать,NO_Ins,0.027,"-  ","-  ",8,0,
запасать,в_Loc,0.12,"241  ","основа,основание  ",8,0.076923077,
