Verb,VerbMeaning,A1,A1Sem,A2,A2Sem,A3,A3Sem,A4,A4Sem,A5,A5Sem,Meaning
закрывать,4.1,NO_Nom,человек,NO_Acc,дверь,в_Acc,помещение-территория,NO_Ins,ключ,-,-,"А1 закрывает А2 в А3 на А4 ‘Человек А1 распо лагает дверь или аналогичное приспособление А2 так, чтобы в помещение или на территорию А3 не было доступа, а также, возможно, делает А2 неподвижным с помощью А4 с той же целью’."
закрывать,4.2,NO_Nom,человек,NO_Acc,вместилище,NO_Ins,объект-средство,-,-,-,-,А1 закрывает А2 при помощи А3 ‘Человек А1 загораживает при помощи А3 отверстие во вместилище А2’.
закрывать,5,NO_Nom,существо,NO_Acc,объект,-,-,-,-,-,-,"А1 закрывает А2 ‘Существо A1 сдвигает части объекта А2 так, что между ними не остается свободного пространства и объект A2 не используется’."
закрывать,6.1,NO_Nom,ответственное лицо,NO_Acc,учреждение,на_Acc,цель,на_Acc,срок,-,-,А1 закрыл А2 на А3 для А4 ‘Ответственное лицо прекратило доступ людей в учреждение А2 с целью А3 на срок А4’.
закрывать,6.2,NO_Nom,ответственное лицо,NO_Acc,учреждение-организация,-,-,-,-,-,-,"А1 закрыл А2 ‘Ответственное лицо А1 ликвиди ровало учреждение, предприятие или организацию А2’."
закрывать,7,NO_Nom,человек,NO_Acc,задолженность,-,-,-,-,-,-,А1 закрывает А2 ‘Человек А1 ликвидирует задолженность А2’.
закрывать,8,NO_Nom,человек,NO_Acc,программа,на_Loc,устройство,-,-,-,-,"А1 закрывает А2 на А3 ‘Человек А1, выполняя специальное действие на электронном устройстве А3, прекра щает доступ к информации, отображаемой в виде А2 на экране А3, или прекращает работу программы А2 устройства А3’."
закрывать,9,NO_Nom,лицо,NO_Acc,счет,-,-,-,-,-,-,"А1 закрывает А2 ‘Лицо А1 по договоренности с банком А3 ликвидирует информационный объект, имеющий номер А2, фиксирующий право А3 временно распоряжаться деньгами лица А1, приписанными к А2, и право А1 проводить финансовые операции с А2’."
закрывать,10,NO_Nom,человек,NO_Acc,мероприятие,-,-,-,-,-,-,"А1 закрывает А2 ‘Человек А1, обычно в торже ственной обстановке, осуществляет специальную процедуру, означающую завершение мероприятия А2’."
закрывать,11,NO_Nom,человек,NO_Acc,дискуссия-спор,-,-,-,-,-,-,"А1 закрыл А2 ‘Человек А1 перестал обсуждать А2 из-за того, что А2 неприятно, или из-за того, что он принял определенное решение относительно А2’."
закрывать,12,NO_Nom,человек,NO_Acc,процедура,-,-,-,-,-,-,А1 закрывает А2 ‘Человек А1 завершает специальную процедуру А2’.
замечать,1.1,NO_Nom,человек,NO_Acc,объект,ГДЕ,место,-,-,-,-,"А1 заметил А2 в А3 ‘Человек А1 увидел в месте А3 объект А2, хотя были обстоятельства, из-за которых он мог не увидеть А2’ [по аналогии о животных]"
замечать,1.2,NO_Nom,человек,NO_Acc,место-время-человек,-,-,-,-,-,-,"А1 заметил А2 ‘Восприняв А2 и считая А2 важным для своих дальнейших действий, человек А1 постарался запомнить А2’."
замечать,1.3,NO_Nom,человек,NO_Acc,ситуация,-,-,-,-,-,-,"А1 заметил А2 ‘Человек А1 на основании воспринятой им информации понял, что имеет место ситуация А2’."
замечать,2,NO_Ins,человек,NO_Nom,человек-объект,в_Loc,свойство-действие,-,-,-,-,А1 заметил А2 ‘Человек А1 обратил внимание на человека или объект А2 из-за его свойства или действий А3 и выделил А2 на этом основании среди других людей или объектов’.
замечать,3,NO_Nom,человек,NO_Acc,физическое явление,-,-,-,-,-,-,"А1 заметил А2 ‘Человек А1 воспринял своими органами чувств физическое явление А2, хотя А1 находился в таком состоянии, что мог его и не воспринять’ [по аналогии о животных]"
замечать,4,NO_Nom,человек,NO_Acc,явление-ситуация,в_Loc,место,-,-,-,-,"А1 заметил А2 ‘Наблюдая или изучая что-л., человек А1 приобрел знание, что в А3 имеет место явление или ситуация А2’."
замечать,5,NO_Nom,человек,-,-,-,-,-,-,-,-,"А1 заметил, что А2 ‘Человек А1 сделал выска зывание А2, которое, по его мнению или мнению говорящего, дополняет или уточняет мысль, ранее высказанную кем-то в том же разговоре’."
бросаться,1.1,NO_Nom,человек,NO_Ins,предмет,в_Acc,направление,-,-,-,-,А1 бросается А2 в А3 ‘Человек А1 в течение какого-то времени бросает небольшие предметы А2 в направ лении А3 с целью попасть в А3’.
бросаться,1.2,NO_Nom,человек,NO_Ins,деньги,-,-,-,-,-,-,"А1 бросается А2 ‘Человек А1, располагающий значительной суммой денег А2, расходует их слишком расточительно’."
бросаться,1.3,NO_Nom,человек,NO_Ins,слова-угроза,-,-,-,-,-,-,"А1 бросается А2 ‘Человек А1 говорит А2, обязывающее его к определенным действиям, хотя он не наме ревается или не может выполнить эти действия, причем говорящий отрицательно оценивает человека А1 или то, что он говорит’."
бросаться,2.1,NO_Nom,человек,КУДА,направление,-,-,-,-,-,-,"А1 бросается к А2 ‘Человек А1 внезапно и быстро начинает перемещаться в направлении А2, в А2 или на А2’."
бросаться,2.2,NO_Nom,человек,КУДА,положение-место,ОТКУДА,место,-,-,-,-,"А1 бросается в А2 с А3 ‘Резким движением оттолкнувшись от опоры А3 или от опоры в месте А3, человек А1 начинает перемещаться вниз в положение или место А2’"
бросаться,3,NO_Nom,человек-животное,на_Acc,объект,-,-,-,-,-,-,"А1 бросается на А2 ‘Человек или животное А1, внезапно вступив в контакт с человеком или объектом А2, пытается причинить вред А2’."
бросаться,4.2,NO_Nom,человек,в_Acc,дело,-,-,-,-,-,-,‘Внезапно начинать увлеченно или интенсивно заниматься делом А2’.
бросаться,5,NO_Nom,субстанция,в_Acc,часть тела,-,-,-,-,-,-,"А1 бросается в А2 ‘Субстанция А1 внезапно как бы заполняет часть тела А2, так что человек перестает чувствовать себя нормально’ [обычно о голове]"
добираться,1,NO_Nom,существо,до_Gen,место,ОТКУДА,место,NO_Ins,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,в_Acc,место,ОТКУДА,место,NO_Ins,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,на_Acc,место,ОТКУДА,место,NO_Ins,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,к_Dat,место,ОТКУДА,место,NO_Ins,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,до_Gen,место,ОТКУДА,место,на_Loc,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,в_Acc,место,ОТКУДА,место,на_Loc,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,на_Acc,место,ОТКУДА,место,на_Loc,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,к_Dat,место,ОТКУДА,место,на_Loc,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,до_Gen,место,ОТКУДА,место,в_Loc,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,в_Acc,место,ОТКУДА,место,в_Loc,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,на_Acc,место,ОТКУДА,место,в_Loc,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,1,NO_Nom,существо,к_Dat,место,ОТКУДА,место,в_Loc,транспорт-средство,-,-,"А1 добрался до А2 из А3 способом А4 ‘Прило жив существенные усилия и затратив достаточно длительное время, существо А1 переместилось из места А3 в место А2 на транспортном средстве А4 или способом А4’."
добираться,2.1,NO_Nom,существо,до_Gen,объект,-,-,-,-,-,-,"А1 добрался до А2 ‘Существо А1, преодолев много трудностей на своем пути, получило доступ к объекту А2, чтобы сделать с А2 то, что А1 хочет’"
добираться,2.2,NO_Nom,человек,до_Gen,объект,-,-,-,-,-,-,"А1 добрался до А2 ‘В течение длительного времени и обычно с трудом делая что-то поочередно и в опреде ленном порядке с каждым из объектов, входящих в какую-то группу, и имея целью сделать это со всеми объектами, чело век А1 получил возможность сделать это с объектом А2, не первым в группе’."
добираться,3,NO_Nom,человек,до_Gen,свойство объекта или ситуации,-,-,-,-,-,-,"А1 добрался до А2 ‘Напряженно думая или собирая информацию о сложном объекте или ситуации и посте пенно понимая их все лучше, человек А1 в какой-то момент начал хорошо понимать неочевидные свойства А2 объекта или ситуации’."
закладывать,1,NO_Nom,человек,NO_Acc,объект-часть тела,за_Acc,часть тела,-,-,-,-,"А1 закладывает А2 за А3 ‘Человек А1 переме щает объект или часть своего тела А2 таким образом, что А2 оказывается позади или с внутренней стороны объекта или другой части тела А3, находясь при этом в контакте с А3 или очень близко от А3’."
закладывать,2.1,NO_Nom,человек,NO_Acc,объект,КУДА,пространство-полный объект,-,-,-,-,А1 закладывает А2 в А3 ‘Человек А1 помещает объект А2 в полый объект А3 или в замкнутое пространство А3’.
закладывать,2.2,NO_Nom,человек,NO_Acc,свойство-способность,в_Acc,сущность-объект,-,-,-,-,"А1 закладывает А2 в А3 ‘Человек А1 делает так, что абстрактная сущность или объект А3 приобретают свой ство или способность А2 - как бы помещает А2 внутрь А3, чтобы А2 проявилось спустя какое-то время’."
закладывать,2.3,NO_Nom,человек,NO_Acc,съестной продукт,в_Acc,полый объект,на_Acc,цель,-,-,"А1 закладывает А2 в А3 ‘Человек А1 помещает съестной продукт А2 в полый объект А3 или в замкнутое пространство А3 с целью А4, для достижения которой требуется достаточно большой промежуток времени’."
закладывать,2.4,NO_Nom,человек,NO_Acc,сырой съестной продукт,в_Acc,горячая жидкость,-,-,-,-,"А1 закладывает А2 в А3 ‘Человек А1 помещает сырой съестной продукт А2 в горячую жидкость А3, чтобы приготовить его’."
закладывать,2.5,NO_Nom,человек,NO_Acc,взрывное устройство,в_Acc,объект,-,-,-,-,"А1 закладывает А2 в А3 ‘Человек А1 помещает взрывчатое вещество или взрывное устройство внутрь объек та А3 или рядом с А3, с целью взорвать А3’."
закладывать,2.5,NO_Nom,человек,NO_Acc,взрывное устройство,под_Acc,объект,-,-,-,-,"А1 закладывает А2 в А3 ‘Человек А1 помещает взрывчатое вещество или взрывное устройство внутрь объек та А3 или рядом с А3, с целью взорвать А3’."
закладывать,3,NO_Nom,человек,NO_Acc,книга,NO_Ins,плоский объект,ГДЕ,место в книге,-,-,"А1 заложил А2 А3 ‘Человек А1 поместил между страницами книги или другого подобного объекта А2 в месте А4 плоский объект А3, чтобы было легко открыть А2 на этом месте’."
закладывать,4,NO_Nom,человек,NO_Acc,пустое пространство,NO_Ins,предметы,-,-,-,-,"А1 закладывает А2 А3 ‘Человек А1 заполняет пустое пространство А2 предметами А3, чтобы А2 перестало существовать’."
закладывать,5,NO_Nom,человек,NO_Acc,дверь,NO_Ins,приспособление,-,-,-,-,"А1 закладывает А2 на А3 ‘Человек А1 при помо щи приспособления А3, обычно крупного, или при помощи крупного предмета А3 делает так, чтобы А2 нельзя было открыть’ [А2 обычно дверь или ворота]"
закладывать,5,NO_Nom,человек,NO_Acc,дверь,на_Acc,приспособление,-,-,-,-,"А1 закладывает А2 на А3 ‘Человек А1 при помо щи приспособления А3, обычно крупного, или при помощи крупного предмета А3 делает так, чтобы А2 нельзя было открыть’ [А2 обычно дверь или ворота]"
закладывать,6,у_Gen,человек,NO_Acc,часть тела,-,-,-,-,-,-,"У А1 заложило А2 ‘Человек А1 чувствует, что полая часть А2 его тела переполнена чем-то, что распирает А2 изнутри, часто от скопления жидкости, отчего А2 не может правильно функционировать’ [А2 - преим. уши, нос]"
закладывать,6,NO_Dat,человек,NO_Acc,часть тела,-,-,-,-,-,-,"У А1 заложило А2 ‘Человек А1 чувствует, что полая часть А2 его тела переполнена чем-то, что распирает А2 изнутри, часто от скопления жидкости, отчего А2 не может правильно функционировать’ [А2 - преим. уши, нос]"
закладывать,7.1,NO_Nom,человек,NO_Acc,углубление,-,-,-,-,-,-,А1 закладывает А2 ‘Человек А1 выкапывает в земле большое углубление А2 или сооружает в выкопанном в земле углублении объект А2’.
закладывать,7.2,NO_Nom,человек,NO_Acc,объект,-,-,-,-,-,-,"А1 закладывает А2 ‘Человек А1 начинает строи тельство объекта А2, обычно укрепленного нижней частью в земле’."
закладывать,8,NO_Nom,человек,NO_Acc,лошадь,в_Acc,гужевое транспортное средство,-,-,-,-,А1 закладывает А2 в А3 ‘Человек А1 запрягает лошадь или другое тягловое животное А2 в гужевое транс портное средство А3 или в плуг’.
закладывать,9,NO_Nom,человек,NO_Acc,ценный предмет,в_Acc,специальное заведение,за_Acc,сумма денег,-,-,"А1 заложил А2 в А3 за А4 ‘Человек А1 отдал принадлежащий ему ценный предмет А2 в специальное заведение А3 и получил за А2 сумму денег А4 с условием, что А1 должен вернуть сумму А4 и проценты от нее в А3, а если этого не произойдет, А2 перейдет в собственность владельца А3’."
закладывать,9,NO_Nom,человек,NO_Acc,ценный предмет,в_Loc,специальное заведение,за_Acc,сумма денег,-,-,"А1 заложил А2 в А3 за А4 ‘Человек А1 отдал принадлежащий ему ценный предмет А2 в специальное заведение А3 и получил за А2 сумму денег А4 с условием, что А1 должен вернуть сумму А4 и проценты от нее в А3, а если этого не произойдет, А2 перейдет в собственность владельца А3’."
закладывать,9,NO_Nom,человек,NO_Acc,ценный предмет,NO_Dat,специальное заведение,за_Acc,сумма денег,-,-,"А1 заложил А2 в А3 за А4 ‘Человек А1 отдал принадлежащий ему ценный предмет А2 в специальное заведение А3 и получил за А2 сумму денег А4 с условием, что А1 должен вернуть сумму А4 и проценты от нее в А3, а если этого не произойдет, А2 перейдет в собственность владельца А3’."
закладывать,10,NO_Nom,человек,NO_Acc,ресурс,на_Acc,цель,-,-,-,-,"А1 закладывает А2 на А3 ‘Человек А1 планиру ет, что часть А2 какого-л. ресурса будет потрачена на А3’."
закладывать,11,NO_Nom,человек,NO_Acc,человек,NO_Dat,человек-инстанция,-,-,-,-,"А1 закладывает А2 лицу А3 ‘Человек А1 расска зывает о плохом поступке человека А2 человеку А3 или пред ставителям инстанции А3, имеющим власть наказать А2’."
внушать,1,NO_Nom,человек,NO_Acc,идея,NO_Dat,человек,-,-,-,-,"А1 внушил A3 идею А2 ‘Человек А1, желая, чтобы человек А3 считал, что А2 истинно, сказал А3 то, что застави ло А3 так считать, возможно оказав на него психологическое давление’."
внушать,2,NO_Nom,человек-явление,NO_Acc,чувство,NO_Dat,человек,-,-,-,-,"А1 внушает человеку А3 чувство А2 ‘Человек или явление А1 являются причиной того, что у человека А3 возникает чувство А2’."
ассоциироваться,1,NO_Nom,образ-явление,с_Ins,образ-явление,у_Gen,человек,-,-,-,-,"А1 ассоциируется у А3 с А2 ‘Обычно, когда в сознании человека А3 возникает образ объекта или явления А1, это вызывает в его сознании образ объекта или явления А2, причем часто между А1 и А2 нет реальной связи и один из них более конкретен, чем другой’."
ассоциироваться,1,NO_Nom,образ-явление,с_Ins,образ-явление,в_Loc,сознание-голова,-,-,-,-,"А1 ассоциируется у А3 с А2 ‘Обычно, когда в сознании человека А3 возникает образ объекта или явления А1, это вызывает в его сознании образ объекта или явления А2, причем часто между А1 и А2 нет реальной связи и один из них более конкретен, чем другой’."
грызть,1.1,NO_Nom,существо,NO_Acc,твердый объект,-,-,-,-,-,-,"А1 грызет А2 ‘Поедая твердый объект А2, суще ство А1 с усилием откусывает зубами от А2 небольшие части’"
грызть,1.2,NO_Nom,существо,NO_Acc,объект,-,-,-,-,-,-,А1 грызет А2 ‘Существо А1 раскусывает твер дую оболочку объекта А2 и съедает А2’.
грызть,2,NO_Nom,существо,NO_Acc,существо-часть тела,-,-,-,-,-,-,А1 грызет А2 ‘Существо А1 неоднократно и сильно кусает существо А2 или часть А2 его тела’.
грызть,3,NO_Nom,существо,NO_Acc,предмет-часть тела,в_Loc,состояние,-,-,-,-,"А1 грызет А2 ‘Существо А1 в состоянии беспокойства или сосредоточенности А3 часто сдавливает зубами несъедобный предмет А2 или часть А2 своего тела, обычно не осознавая этого’."
грызть,3,NO_Nom,существо,NO_Acc,предмет-часть тела,от_Gen,состояние,-,-,-,-,"А1 грызет А2 ‘Существо А1 в состоянии беспокойства или сосредоточенности А3 часто сдавливает зубами несъедобный предмет А2 или часть А2 своего тела, обычно не осознавая этого’."
грызть,4,NO_Nom,человек,NO_Acc,человек,ПРЕДЛ,слова,за_Acc,действие-свойство,-,-,"А1 грызет А2 за А4 ‘Считая плохими действия или свойства А4 человека А2 и желая выразить свои чувства, человек А1 долго говорит или много раз повторяет непри ятные для А2 слова А3’."
грызть,5,NO_Nom,мысль-чувство,NO_Acc,человек,-,-,-,-,-,-,"А1 грызет А2 ‘Неприятное чувство или мысль А1 является причиной того, что человек А2 длительное время испытывает душевный дискомфорт, - А1 как бы грызет А2’."
грезить,1,NO_Nom,человек,о_Loc,образ объекта-событие,-,-,-,-,-,-,"А1 грезит об А2 ‘Человек А1 находится в таком ментальном состоянии, при котором часто или постоянно в воображении А1 присутствует образ объекта А2 или как бы происходит желаемое им событие А2’."
грезить,2,NO_Nom,человек,NO_Ins,положение дел,-,-,-,-,-,-,"А1 грезит об А2 ‘Человек А1 очень хочет, чтобы имело место желаемое им положение дел А2’."
грезить,2,NO_Nom,человек,о_Loc,положение дел,-,-,-,-,-,-,"А1 грезит об А2 ‘Человек А1 очень хочет, чтобы имело место желаемое им положение дел А2’."
глушить,1,NO_Nom,звук,-,-,-,-,-,-,-,-,"А1 глушит А2 ‘Звук А1 воздействует на живое существо А2 так, что А2 перестает на какое-то время слышать или слух его постепенно ухудшается’."
глушить,2.1,NO_Nom,человек,NO_Acc,звук,NO_Ins,звук,-,-,-,-,"А1 глушит А2 посредством А3 ‘Человек А1 делает менее слышными или неслышными звуки А2, производя более громкие звуки А3 одновременно с А2’."
глушить,2.2,NO_Nom,фактор,NO_Acc,звук,-,-,-,-,-,-,"А1 глушит А2 ‘Фактор А1, существуя одновре менно со звуком А2, является причиной того, что А2 стано вится менее слышным или неслышным’ [А1 - более громкий звук или какая-л. субстанция]"
глушить,2.3,NO_Nom,лицо,NO_Acc,средство связи,NO_Ins,специальное устройство,-,-,-,-,"А1 глушит А2 с помощью А3 ‘Лицо А1, желая, чтобы устный текст, передаваемый по средству связи А2, нельзя было услышать, мешает его услышать, производя одновре менно с ним более громкие звуки или создавая помехи, обычно с помощью специального устройства А3’."
глушить,3.1,NO_Nom,человек,NO_Acc,живое существо,NO_Ins,предмет-часть тела,-,-,-,-,"А1 глушит А2 с помощью А3 ‘Человек А1 с силой ударяет предметом или частью тела А3 живое существо А2 по голове или использует средство А3 так, что А2 теряет сознание или умирает’."
глушить,3.2,NO_Nom,человек,NO_Acc,человек,NO_Ins,средство,-,-,-,-,"А1 глушит А2 ‘Человек А1 воздействует на человека А2 сильнодействующими средствами А3 в большом количестве, так что его сознание перестает полноценно функ ционировать’ [А1 и А2 могут совпадать]"
глушить,4.1,NO_Nom,человек,NO_Acc,состояние,NO_Ins,объект,-,-,-,-,"А1 глушит А2 с помощью А3 ‘Человек А1, желая прекратить нежелательное для себя эмоциональное или физическое состояние А2, использует А3, в результате чего А2 становится менее интенсивным или перестает существовать’."
глушить,4.2,NO_Nom,фактор,NO_Acc,состояние-способность,-,-,-,-,-,-,"А1 глушит А2 ‘Воздействие фактора А1 приво дит к тому, что эмоциональное, ментальное или физическое состояние или способность А2 человека А1 становятся менее интенсивными или перестают существовать’."
глушить,4.3,NO_Nom,лицо,NO_Acc,человек,-,-,-,-,-,-,‘Лицо А1 делает что-то по отношению к человеку А2 с целью ограничить свободу действий А2’ [А1 может совпадать с А2]
глушить,4.4,NO_Nom,растение,NO_Acc,растение,-,-,-,-,-,-,"‘Растение А1 мешает растению А2 нормально развиваться, находясь слишком близко от него и тем самым создавая для А2 недостаток света, места или влаги’."
глушить,5,-,-,NO_Acc,устройство,-,-,-,-,-,-,‘Переводить устройство А2 из рабочего состоя ния в нерабочее’.
глушить,6,-,-,NO_Acc,алкоголь,-,-,-,-,-,-,"‘Пить алкогольные напитки А2 в большом коли честве, часто большими порциями’."
воскресать,1,NO_Nom,существо,-,-,-,-,-,-,-,-,"А1 воскрес ‘Существо А1, которое было мерт вым, стало живым в результате Божественного замысла или в результате действия Бога или существа, наделенного особыми возможностями’ [обычно о людях или Боге в образе человека]"
воскресать,2.1,NO_Nom,человек,-,-,-,-,-,-,-,-,"А1 воскрес ‘Человек А1, который был в очень плохом физическом или психологическом состоянии, вернулся в нормальное состояние’ [по аналогии - о животных и растениях]"
воскресать,2.2,NO_Nom,объект,из_Gen,плохое состояние,-,-,-,-,-,-,"А1 воскрес ‘Объект А1, который был в очень плохом состоянии А2, был разрушен или не функционировал, снова начал нормально существовать или функционировать’"
воскресать,3,NO_Nom,явление,-,-,-,-,-,-,-,-,"А1 воскрес ‘Явление А1, которое исчезло, опять возникло’ [часто о явлениях внутреннего мира человека - чувствах, воспоминаниях, мыслях]"
ворочать,1,NO_Nom,человек-животное,NO_Acc,объект,NO_Ins,инструмент-руки-лапы,-,-,-,-,"А1 ворочает А2 с помощью A3 ‘Человек или животное А1 перемещают или двигают тяжелый объект А2, обыч но переворачивая его руками, лапами или инструментом А3’"
ворочать,2.1,NO_Nom,человек,NO_Ins,инструмент,-,-,-,-,-,-,"‘Человек А1 с усилием работает инструментом А2, поворачивая его, преодолевая сопротивление среды, в которой инструмент двигается’."
ворочать,2.2,NO_Nom,человек-животное,NO_Ins,орган-часть тела,-,-,-,-,-,-,"А1 ворочает А2 ‘Человек или животное А1 с усилием двигает органом или частью тела А2 из-за тревоги, усталости или болезни, как бы преодолевая сопротивление’"
ворочать,2.3,NO_Nom,лицо,NO_Ins,деятельность,-,-,-,-,-,-,"‘Лицо А1 управляет деятельностью А2 или деятельностью, связанной с объектом А2, что требует от него очень больших усилий’."
вынуждать,1,NO_Nom,человек,NO_Acc,человек,к_Dat,действие,NO_Ins,средство,-,-,"А1 вынудил А2 сделать A3 ‘Человек А1, сделав А4, добился этим того, что человек А2, который не хотел или которому было неприятно делать А3, не мог не сделать А3’ [по аналогии - о животных в роли А1 или А2]."
вынуждать,1,NO_Nom,человек,NO_Acc,человек,у_Gen,действие,NO_Ins,средство,-,-,"А1 вынудил А2 сделать A3 ‘Человек А1, сделав А4, добился этим того, что человек А2, который не хотел или которому было неприятно делать А3, не мог не сделать А3’ [по аналогии - о животных в роли А1 или А2]."
вынуждать,2,NO_Nom,ситуация-явление,NO_Acc,лицо,к_Dat,действие,-,-,-,-,"А1 вынудил А2 сделать A3 ‘Ситуация или явление А1 было причиной того, что лицо А2, которое не намеревалось делать А3, не могло этого не сделать’."
действовать,1.1,NO_Nom,человек,NO_Ins,инструмент,-,-,-,-,-,-,"‘Делая что-л. для достижения своей цели, двигать инструмент A2, обычно держа его в руке, или часть своего тела A2’"
действовать,2.1,NO_Nom,устройство-часть тела,-,-,-,-,-,-,-,-,"‘Выполнять свои функции’ [об устройствах и частях тела]."   
действовать,2.2,NO_Nom,объект,на_Loc,место,-,-,-,-,-,-,"‘Существуя длительное время в месте A2, объект A1 занимается присущей ему деятельностью’ [об организациях или группах людей]."
действовать,2.2,NO_Nom,объект,в_Loc,место,-,-,-,-,-,-,"‘Существуя длительное время в месте A2, объект A1 занимается присущей ему деятельностью’ [об организациях или группах людей]."
действовать,2.3,-,-,в_Loc,произведение,-,-,-,-,-,-,"‘Быть персонажем художественного произведения A2’ [обычно о литературе, театре и кино]"
действовать,3,NO_Nom,объект,с_Gen,время,-,-,-,-,-,-,"A1 действует в период A2: ‘Объект A1 официально признается выполняющим свое предназначение во время A2 или до момента A2, утрачивая это свойство в другое время’ [A1 - документ, закон и т. п.]"
действовать,3,NO_Nom,объект,до_Gen,время,-,-,-,-,-,-,"A1 действует в период A2: ‘Объект A1 официально признается выполняющим свое предназначение во время A2 или до момента A2, утрачивая это свойство в другое время’ [A1 - документ, закон и т. п.]"
действовать,3,NO_Nom,объект,по_Acc,время,-,-,-,-,-,-,"A1 действует в период A2: ‘Объект A1 официально признается выполняющим свое предназначение во время A2 или до момента A2, утрачивая это свойство в другое время’ [A1 - документ, закон и т. п.]"
действовать,3,NO_Nom,объект,в течение_Gen,время,-,-,-,-,-,-,"A1 действует в период A2: ‘Объект A1 официально признается выполняющим свое предназначение во время A2 или до момента A2, утрачивая это свойство в другое время’ [A1 - документ, закон и т. п.]"
действовать,3,NO_Nom,объект,NO_Acc,время,-,-,-,-,-,-,"A1 действует в период A2: ‘Объект A1 официально признается выполняющим свое предназначение во время A2 или до момента A2, утрачивая это свойство в другое время’ [A1 - документ, закон и т. п.]"
действовать,4,NO_Nom,фактор-объект,на_Acc,объект,-,-,-,-,-,-,"A1 действует на A2 ‘Фактор или объект A1 является причиной изменений A3 в объекте A2’"
возглавлять,1,NO_Nom,человек,NO_Acc,группа людей-деятельность,-,-,-,-,-,-,"А1 возглавляет А2 ‘Человек А1 руководит группой людей А2 или деятельностью А2’."
возглавлять,2,NO_Nom,объект,NO_Acc,группа однородных объектов,-,-,-,-,-,-,"‘Располагаться в начале группы однородных объектов А2, что обычно связано с относительной важностью"
завершать,1.1,NO_Nom,человек,NO_Acc,сооружение,NO_Ins,элемент,-,-,-,-,"А1 завершил сооружение А2 элементомА3 ‘Человек А1, создавая сооружение А2, расположил на его верху элемент А3 в качестве части А2, существенной для его функционирования или внешнего вида’."
завершать,1.2,NO_Nom,элемент,NO_Acc,сооружение,-,-,-,-,-,-,"А1 завершает сооружение А2 ‘Элемент А1 сооружения А2 является верхней частью А2, существенной для его внешнего вида и целостности сооружения’."
завершать,2.1,NO_Nom,человек,NO_Acc,действие-деятельность,-,-,-,-,-,-,"А1 завершил А2 ‘Человек А1 перестал осуществлять действие или деятельность А2 или работать над созданием объекта А2, так как цель была достигнута’."
завершать,2.2,NO_Nom,человек,NO_Acc,действие-деятельность,NO_Ins,элемент,-,-,-,-,"А1 завершил А2 элементом А3 ‘Человек А1 перестал осуществлять действие или деятельность А2 или создавать объект А2, и последним элементом А2 было действие А3, существенное для А2’"
завершать,2.3,NO_Nom,часть произведения,NO_Acc,произведение,-,-,-,-,-,-,"А1 завершает А2 ‘Часть А1 произведения А2 является последним элементом А2, существенным для общего смысла А2’"
