Verb,VerbMeaning,A1,A1Sem,A2,A2Sem,A3,A3Sem,A4,A4Sem,A5,A5Sem,Meaning
вышивать,1,NO_Nom,человек,NO_Acc,объект,на_Loc,ткань-изделие,NO_Ins,нить,на_Loc,инструмент,"А1 вышил А2 наА3 средством А4 с помощью А5 ‘Человек А1 с помощью инструмента А5 создал изображение А2 на ткани или тканевом изделии А3, сделав на А3 специальные стежки нитью А4 или пришив к А3 специально предназначенные для этого мелкие объекты А4’."
вышивать,1,NO_Nom,человек,NO_Acc,объект,по_Dat,ткань-изделие,NO_Ins,нить,на_Loc,инструмент,"А1 вышил А2 наА3 средством А4 с помощью А5 ‘Человек А1 с помощью инструмента А5 создал изображение А2 на ткани или тканевом изделии А3, сделав на А3 специальные стежки нитью А4 или пришив к А3 специально предназначенные для этого мелкие объекты А4’."
вышивать,2,NO_Nom,человек,NO_Acc,изделие,NO_Ins,объект,NO_Ins,нить-мелкий объект,NO_Ins,инструмент,"А1 вышил А2 ‘Человек А1 украсил изделие А2 из ткани, вышив на нем с помощью инструмента А5 много изображений А3 из нити или мелких объектов А4’"
афишировать,1,NO_Nom,человек,NO_Acc,поступок-состояние-свойство-ситуация,перед_Ins,человек,-,-,-,-,"А1 афиширует А2 ‘Человек А1 старается сделать так, чтобы многие люди А3 знали о его поступке, состоянии или свойстве А2 или ситуации А2, участником которой он является’"
брить,1.1,NO_Nom,человек,NO_Acc,часть тела-поверхность тела,NO_Ins,инструмент,-,-,-,-,"А1 бреет А2 с помощью A3 ‘Водя по поверхности тела человека А2 или по части А2 тела человека специальным инструментом А3, человек А1 срезает у основания растущие на ней волосы, так что кожа становится гладкой’"
брить,1.2,NO_Nom,человек,NO_Acc,часть тела,у_Gen,работник,-,-,-,-,"А1 бреет А2 у A3 ‘Человек А1 делает так, что работник А3 в специальном учреждении или работник специального учреждения А3 бреет ему часть тела А2’."
брить,1.2,NO_Nom,человек,NO_Acc,часть тела,в_Loc,учреждение,-,-,-,-,"А1 бреет А2 у A3 ‘Человек А1 делает так, что работник А3 в специальном учреждении или работник специального учреждения А3 бреет ему часть тела А2’."
брить,2,NO_Nom,самолет,-,-,-,-,-,-,-,-,‘Лететь на предельно малой высоте’ [о самолете]
громыхать,1,NO_Nom,существо-объект,NO_Ins,предмет,-,-,-,-,-,-,"А1 громыхает предметом А2 ‘Существо или объект А1 перемещается, отчего предмет А2, который он держит или который находится на нем, соприкасаясь с другими предметами, издает громкий глухой неприятный звук, похожий на звук сталкивающихся друг с другом тяжелых камней’."
громыхать,2,NO_Nom,предмет,-,-,-,-,-,-,-,-,"А1 громыхает ‘Предмет А1 от соприкосновения с другими предметами издает громкий глухой неприятный звук, похожий на звук сталкивающихся друг с другом тяжелых камней, или части предмета А1 издают такой звук от соприкосновения друг с другом, или явление А1 сопровождается таким звуком’"
выползать,1.1,NO_Nom,существо,ОТКУДА,замкнутое пространство,КУДА,открытое пространство,на_Acc,цель,-,-,"А1 выполз из А2 в А3 с целью А4 ‘Существо А1, ползя, переместилось из более замкнутого пространства А2 в более открытое пространство А3 с целью А4’ [о пресмыкающихся, червях, насекомых и т. п., а также о человеке и четвероногих животных в особых условиях перемещения или в особых состояниях]."
выползать,1.1,NO_Nom,существо,ОТКУДА,замкнутое пространство,КУДА,открытое пространство,за_Ins,цель,-,-,"А1 выполз из А2 в А3 с целью А4 ‘Существо А1, ползя, переместилось из более замкнутого пространства А2 в более открытое пространство А3 с целью А4’ [о пресмыкающихся, червях, насекомых и т. п., а также о человеке и четвероногих животных в особых условиях перемещения или в особых состояниях]."
выползать,1.1,NO_Nom,человек,ОТКУДА,замкнутое пространство,КУДА,открытое пространство,на_Acc,цель,-,-,"А1 выполз из А2 в A3 с целью А4 ‘Человек А1, с трудом идя, очень медленно переместился из более замкнутого пространства А2 в более открытое пространство А3 с целью А4’"
выползать,1.1,NO_Nom,человек,ОТКУДА,замкнутое пространство,КУДА,открытое пространство,за_Ins,цель,-,-,"А1 выполз из А2 в A3 с целью А4 ‘Человек А1, с трудом идя, очень медленно переместился из более замкнутого пространства А2 в более открытое пространство А3 с целью А4’"
выползать,2.1,NO_Nom,транспортное средство,ОТКУДА,замкнутое пространство,КУДА,открытое пространство,-,-,-,-,А1 выполз из А2 в A3 ‘Транспортное средство А1 очень медленно переместилось из более замкнутого пространства А2 в более открытое пространство А3’ [обычно при взгляде со стороны или с большого расстояния]
выползать,2.2,NO_Nom,объект-субстанция,ОТКУДА,объект,КУДА,открытое пространство,-,-,-,-,"А1 выполз изА2 в А3 ‘Объект или субстанция А1, находившиеся в замкнутом пространстве или внутри объекта А2, очень медленно катясь или распространяясь, переместились в более открытое пространство А3’"
выползать,2.3,NO_Nom,объект,из-за_Gen,объект,-,-,-,-,-,-,"А1 выполз из-за А2 ‘Медленно перемещаясь по небу, объект А1 перестал находиться за объектом А2 и стал виден наблюдателю’ [о светилах, облаках и т. п.]."
выползать,3,NO_Nom,объект,из_Gen,место,-,-,-,-,-,-,А1 выполз из А2 ‘Неподвижный объект А1 начал быть видимым в месте А2 медленно перемещающемуся в направлении А1 наблюдателю - А1 как бы выполз 1.1 из А2’.
выползать,3,NO_Nom,объект,из-за_Gen,место,-,-,-,-,-,-,А1 выполз из А2 ‘Неподвижный объект А1 начал быть видимым в месте А2 медленно перемещающемуся в направлении А1 наблюдателю - А1 как бы выполз 1.1 из А2’.
жалить,1,NO_Nom,насекомое-животное,NO_Acc,человек-животное,-,-,-,-,-,-,"А1 жалит А2 ‘Насекомое или животное A1 взаимодействует с телом человека или животного A2 так, что в тело A2 попадает вещество, вызывающее у A2 зуд или боль’."
жалить,2,NO_Nom,растение,NO_Acc,человек,-,-,-,-,-,-,"А1 жалит А2 ‘Растение A1 при соприкосновении с телом человека A2 выделяет вещество, вызывающее у A2 ожог’"
запасать,1,NO_Nom,существо,NO_Gen,объект-ресурс-продукт,на_Acc,срок,-,-,-,-,"А1 запас А2 на срок А3 ‘Существо А1 накопило какое-то количество объектов А2 или ресурса А2, чтобы можно было расходовать А2 в течение срока А3’ [А2 часто продукты],"
запасать,1,NO_Nom,существо,NO_Acc,объект-ресурс-продукт,на_Acc,срок,-,-,-,-,"А1 запас А2 на срок А3 ‘Существо А1 накопило какое-то количество объектов А2 или ресурса А2, чтобы можно было расходовать А2 в течение срока А3’ [А2 часто продукты],"
гостить,1,NO_Nom,человек,у_Gen,человек,ГДЕ,дом-место,КАКОЕ_ВРЕМЯ,время,-,-,"А1 гостит у А2 в А3 ‘Человек А1 живет по при глашению человека А2 у него в доме в месте А3 в течение времени А4 одновременно с ним, потому что людям А1 и А2 приятно быть вместе, и А2 старается создать условия, чтобы человеку А1 было приятно жить у него’."
гостить,1,NO_Nom,человек,в_Loc,семья,ГДЕ,дом-место,КАКОЕ_ВРЕМЯ,время,-,-,"А1 гостит у А2 в А3 ‘Человек А1 живет по при глашению человека А2 у него в доме в месте А3 в течение времени А4 одновременно с ним, потому что людям А1 и А2 приятно быть вместе, и А2 старается создать условия, чтобы человеку А1 было приятно жить у него’."
дезинфицировать,1,NO_Nom,человек,NO_Acc,объект,от_Gen,микроорганизмы,NO_Ins,средство,-,-,"A1 дезинфицирует A2 от A3 с помощью A4 ‘Человек A1 воздействует на объект A2 средством A4 с целью уничтожить вызывающие заболевания микроорганизмы A3, находящиеся на A2 или в A2’."
дезинфицировать,1,NO_Nom,человек,NO_Acc,объект,от_Gen,микроорганизмы,в_Loc,средство,-,-,"A1 дезинфицирует A2 от A3 с помощью A4 ‘Человек A1 воздействует на объект A2 средством A4 с целью уничтожить вызывающие заболевания микроорганизмы A3, находящиеся на A2 или в A2’."
дезинфицировать,1,NO_Nom,человек,NO_Acc,объект,от_Gen,микроорганизмы,с помощью_Gen,средство,-,-,"A1 дезинфицирует A2 от A3 с помощью A4 ‘Человек A1 воздействует на объект A2 средством A4 с целью уничтожить вызывающие заболевания микроорганизмы A3, находящиеся на A2 или в A2’."
дезинфицировать,1,NO_Nom,человек,NO_Acc,объект,от_Gen,микроорганизмы,при помощи_Gen,средство,-,-,"A1 дезинфицирует A2 от A3 с помощью A4 ‘Человек A1 воздействует на объект A2 средством A4 с целью уничтожить вызывающие заболевания микроорганизмы A3, находящиеся на A2 или в A2’."
дезинфицировать,2,NO_Nom,вещество,NO_Acc,объект,-,-,-,-,-,-,"A1 дезинфицирует A2 ‘Вещество A1 обладает свойством уничтожать вызывающие заболевания микроорга низмы, находящиеся на объекте A2 или внутри его’."
ждать,1.1,NO_Nom,человек,NO_Gen,человек-транспорт,ГДЕ,место,СКОЛЬКО,время,-,-,"А1 ждет А2 в А3 в течение А4 ‘Зная или считая, что через какое-то время в месте А3 появится человек А2, с которым человек А1 хочет или должен войти в контакт, или транспортное средство А2, нужное для реализации его цели, человек А1 находится в А3 в течение времени А4 с целью войти в контакт с человеком А2 или реализовать свою цель, связанную с транспортным средством А2’."
ждать,1.1,NO_Nom,человек,NO_Acc,человек-транспорт,ГДЕ,место,СКОЛЬКО,время,-,-,"А1 ждет А2 в А3 в течение А4 ‘Зная или считая, что через какое-то время в месте А3 появится человек А2, с которым человек А1 хочет или должен войти в контакт, или транспортное средство А2, нужное для реализации его цели, человек А1 находится в А3 в течение времени А4 с целью войти в контакт с человеком А2 или реализовать свою цель, связанную с транспортным средством А2’."
ждать,1.2,NO_Nom,человек,NO_Acc,событие-ситуация,-,-,-,-,-,-,"А1 ждет А2 ‘Человек А1 находится в состоянии готовности к событию А2 или возникновению ситуации А2, которые могут повлиять на текущее состояние или дальней шую жизнь А1’."
ждать,1.3,NO_Nom,человек,NO_Gen,ситуация,-,-,-,-,-,-,"А1 ждет А2 ‘Человек А1 находится в состоянии готовности к возникновению ситуации А2, нужной ему для реализации его планов или естественной в данных условиях’ [А2 - отрезок времени, природное явление с заранее извест ным временем наступления, событие и т. п.]"
ждать,1.3,NO_Nom,человек,NO_Acc,ситуация,-,-,-,-,-,-,"А1 ждет А2 ‘Человек А1 находится в состоянии готовности к возникновению ситуации А2, нужной ему для реализации его планов или естественной в данных условиях’ [А2 - отрезок времени, природное явление с заранее извест ным временем наступления, событие и т. п.]"
ждать,1.4,NO_Nom,женщина,NO_Acc,ребенок,-,-,-,-,-,-,"А1 ждет А2 ‘Женщина А1 беременна и находится в состоянии готовности к тому, что у нее родится ребенок А2’."
ждать,2,NO_Nom,человек,NO_Gen,событие,-,-,-,-,-,-,"А1 ждет А2 ‘Человек А1 предполагает, что относительно скоро произойдет событие А2, непосредственно его касающееся и чаще неприятное для него’."
ждать,3.2,NO_Nom,ситуация,-,-,-,-,-,-,-,-,"А1 не ждет ‘Ситуация А1 такова, что она требует действий от ее потенциальных участников’ [обычно в ОТРИЦ со словами время, дело, работа, жизнь в качестве подлежащего]"
ждать,4.1,NO_Nom,объект,NO_Acc,человек,ГДЕ,место,-,-,-,-,"А1 ждет А2 в А3 ‘Предназначенный для чело века А2 объект А1, ранее находившийся в другом месте или не существовавший, в момент наблюдения находится в месте А3, где находится или куда должен переместиться А2, или недалеко от этого места, и готов для использования этим чело веком’ [А1 - транспортное средство, почтовое отправление, еда и т п.]"
ждать,4.2,NO_Nom,объект,NO_Gen,человек-роль,-,-,-,-,-,-,"А1 ждет А2 ‘Объект А1, готовый для использо вания или для того, чтобы кто-то занялся им, не используется или им никто не занимается, потому что еще нет такого чело века А2, который бы мог или хотел это сделать’."
ждать,5,NO_Nom,ситуация-роль,NO_Acc,человек,-,-,-,-,-,-,"А1 ждет А2 ‘Говорящий выражает уверенность, что человек или объект А2 в относительно близком будущем окажется в ситуации А1, которая может существенно повли ять на его дальнейшее существование’."
жить,1.1,NO_Nom,существо-растение,-,-,-,-,-,-,-,-,"Данная лексема имеет элементарное значение и не толкуется [обычно указывает на то, что существо или растение А1 существует и внутри А1 идут биологические процессы и А1 развивается и изменяется]"
жить,1.2,NO_Nom,чувство-идея-нематериальный объект,ГДЕ,человек-социум,-,-,-,-,-,-,"А1 живет в А2 ‘Чувство, идея или иной немате риальный объект А1 существует у человека А2 или социума А2’.Ъ> Метонимические употребления применительно к душе и другим внутренним органам человека в роли A2: жить в душе <в памяти>."
жить,2.1,NO_Nom,человек-животное,КОГДА,время,-,-,-,-,-,-,А1 живет в А2 ‘Человек А1 живет 1.1 в период времени А2’ [по аналогии о животных]
жить,2.2,NO_Nom,существо,ГДЕ,место,-,-,-,-,-,-,А1 живет в А2 ‘Существо А1 длительное время живет 1.1 в месте А2’.
жить,2.2,NO_Nom,существо,с_Ins,человек,-,-,-,-,-,-,А1 живет в А2 ‘Существо А1 длительное время живет 1.1 в месте А2’.
жить,2.3,NO_Nom,человек,КАК,состояние-условия-цель,-,-,-,-,-,-,"А1 живет образом А2 ‘Человек А1 живет 1.1 в состоянии А2, в условиях А2, с целью А2 или по принципам А2’"
жить,3.1,NO_Nom,человек,с_Ins,человек,КАК,отношение,-,-,-,-,"А1 живет с А2 образом А3 ‘Человек А1 имеет отношения А3 с человеком А2, с которым он живет в одном месте’."
жить,3.2,NO_Nom,человек,с_Ins,человек,-,-,-,-,-,-,А1 живет с А2 ‘Человек А1 имеет сексуальные отношения с человеком А2’.
жить,4.1,NO_Nom,человек,на_Acc,материальные средства-способ,-,-,-,-,-,-,"А1 живет А2 ‘Человек А1 для того, чтобы жить 1.1, использует материальные ресурсы А2 или получает мате риальные ресурсы способом А2’"
жить,4.1,NO_Nom,человек,NO_Ins,материальные средства-способ,-,-,-,-,-,-,"А1 живет А2 ‘Человек А1 для того, чтобы жить 1.1, использует материальные ресурсы А2 или получает мате риальные ресурсы способом А2’"
жить,4.2,NO_Nom,человек,NO_Ins,объект,-,-,-,-,-,-,А1 живет А2 ‘Человек А1 сосредоточен исключительно на А2 - А2 как бы дает человеку А1 возможность жить 1.1’.
выполнять,1.1,NO_Nom,лицо,NO_Acc,ситуация,-,-,-,-,-,-,"А1 выполнил А2 ‘Лицо А1 сделало то, что нормально ожидается от адресата ситуации А2’."
выполнять,1.2,NO_Nom,человек-механизм,NO_Acc,работа,-,-,-,-,-,-,"А1 выполнил А2 ‘Человек или автономно функционирующий механизм А1 сделал то, что обозначено суще ствительным А2’."
выполнять,2.1,NO_Nom,человек,NO_Acc,объект,из_Gen,материал,-,-,-,-,А1 выполнил А2 из А3 ‘Человек А1 изготовил объект А2 из материала А3’.
