Verb,Model,ModelSize,Indices,Examples,Size,Coverage
запасать,NO_Acc,0.251,198  ,"усилие,сила  ",60,0.16
дезинфицировать,NO_Acc,0.565,210  ,"ступенька,лестница  ",112,0.06666666666666667
дезинфицировать,NO_Acc,0.565,4  ,"нога,рука  ",102,0.05882352941176469
дезинфицировать,NO_Acc,0.565,0  ,"дом,здание  ",150,0.10370370370370374
дезинфицировать,NO_Acc,0.565,184  ,"рана,шрам  ",101,0.5
дезинфицировать,NO_Acc,0.565,3  ,"страна,регион  ",66,0.03723404255319149
дезинфицировать,NO_Nom  NO_Acc,0.106,153  362  ,"фонарь,лампа  отсек,кабина  ",94,0.09027777777777778
брить,NO_Acc,0.47,4  ,"нога,рука  ",337,0.13725490196078427
брить,NO_Acc,0.47,326  ,"борода,ус  ",194,0.4444444444444444
афишировать,NO_Acc,0.805,117  ,"отношение,связь  ",177,0.27272727272727276
афишировать,NO_Acc,0.805,3  ,"страна,регион  ",139,0.02127659574468085
афишировать,NO_Acc,0.805,118  ,"ситуация,случай  ",59,0.3636363636363637
афишировать,NO_Acc,0.805,80  ,"создание,разработка  ",64,0.10638297872340426
