Verb,Model,ModelSize,Indices,Examples,Size,Coverage
выливать,NO_Acc,0.2,98  ,"вода,воздух  ",317,0.4074074074074074
выливать,NO_Acc,0.2,393  ,"осколок,обломок  ",60,0.14285714285714285
выливать,NO_Acc,0.2,77  ,"вино,пиво  ",83,0.375
выливать,NO_Acc,0.2,150  ,"волна,поток  ",29,0.16666666666666666
выливать,NO_Acc,0.2,592  ,"чай,кофе  ",40,0.6666666666666666
выливать,NO_Acc,0.2,36  ,"молоко,мясо  ",57,0.16071428571428567
выливать,NO_Acc,0.2,17  ,"чашка,стакан  ",161,0.4050632911392408
выливать,NO_Acc,0.2,237  ,"пыль,грязь  ",26,0.15384615384615385
выливать,NO_Acc,0.2,6  ,"удовольствие,радость  ",64,0.10426540284360186
выливать,NO_Acc,0.2,344  ,"дрянь,гадость  ",29,0.5
выливать,NO_Acc,0.2,161  ,"часть,половина  ",33,0.2857142857142857
выливать,NO_Acc,0.2,180  ,"цвет,оттенок  ",18,0.1764705882352941
выливать,NO_Acc,0.2,134  ,"пирожок,пирог  ",19,0.1
выливать,NO_Acc,0.2,147  ,"раствор,смесь  ",32,0.2631578947368421
выливать,NO_Acc,0.2,104  ,"число,количество  ",34,0.16666666666666666
выливать,NO_Acc,0.2,85  ,"газ,топливо  ",19,0.1
выливать,NO_Acc,0.2,56  ,"салат,блюдо  ",23,0.14634146341463414
выливать,NO_Acc,0.2,53  ,"гнев,ярость  ",39,0.23809523809523808
выливать,NO_Acc,0.2,329  ,"вес,килограмм  ",11,0.2222222222222222
выливать,NO_Acc,0.2,739  ,"фарфор,керамика  ",10,0.5
выливать,NO_Acc,0.2,359  ,"мусор,хлам  ",9,0.25
выливать,NO_Acc,0.2,199  ,"алкоголь,спиртное  ",12,0.2
выливать,NO_Acc,0.2,192  ,"вещество,кислота  ",10,0.125
выливать,NO_Acc,0.2,152  ,"сотня,десяток  ",8,0.1111111111111111
выливать,NO_Acc,0.2,346  ,"душа,сердце  ",8,0.25
выливать,NO_Acc,0.2,530  ,"отвар,настой  ",8,0.5
выливать,NO_Acc,0.2,188  ,"металл,сталь  ",12,0.1875
выливать,NO_Acc,0.2,380  ,"резерв,запас  ",6,0.14285714285714285
выливать,NO_Acc,0.2,434  ,"яд,отрава  ",8,0.5
выливать,NO_Acc,0.2,566  ,"возмущение,негодование  ",10,0.75
выливать,NO_Acc,0.2,238  ,"мысль,воспоминание  ",5,0.15384615384615385
выливать,NO_Acc,0.2,244  ,"сахар,соль  ",5,0.15384615384615385
выливать,NO_Acc,0.2,133  ,"правда,ложь  ",4,0.1
выливать,NO_Acc,0.2,285  ,"концентрация,содержание  ",3,0.1
выливать,NO_Acc,0.2,302  ,"дефицит,нехватка  ",2,0.1111111111111111
выливать,NO_Acc,0.2,277  ,"беда,несчастие  ",4,0.2727272727272727
выливать,NO_Acc,0.2,778  ,"настроение,настрой  ",2,0.5
выливать,NO_Acc,0.2,186  ,"еда,пища  ",4,0.125
выливать,NO_Acc,0.2,543  ,"продукт,товар  ",3,0.5
выливать,NO_Acc,0.2,773  ,"экспрессия,эмоциональность  ",1,0.5
выливать,NO_Acc,0.2,478  ,"тайна,секрет  ",1,0.2
выливать,NO_Acc,0.2,672  ,"уловка,хитрость  ",1,0.3333333333333333
выливать,NO_Acc,0.2,403  ,"доказательство,подтверждение  ",1,0.14285714285714285
выливать,NO_Acc,0.2,415  ,"колокол,колокольчик  ",1,0.16666666666666666
выливать,NO_Acc,0.2,549  ,"капля,капелька  ",1,0.25
выливать,NO_Acc,0.2,660  ,"штука,штучка  ",1,0.2
выливать,NO_Acc,0.2,736  ,"варение,джем  ",1,0.5
выливать,NO_Acc,0.2,545  ,"утка,гусь  ",1,0.25
выливать,NO_Acc,0.2,477  ,"свеча,свечка  ",1,0.2
выливать,NO_Acc,0.2,353  ,"памятник,монумент  ",1,0.125
выливать,NO_Acc  на_Acc,0.144,98  4  ,"вода,воздух  нога,рука  ",79,0.15413943355119825
выливать,NO_Acc  на_Acc,0.144,17  4  ,"чашка,стакан  нога,рука  ",71,0.16129932985852577
выливать,NO_Acc  на_Acc,0.144,592  4  ,"чай,кофе  нога,рука  ",16,0.3431372549019608
выливать,NO_Acc  на_Acc,0.144,147  558  ,"раствор,смесь  сковородка,сковорода  ",7,0.2763157894736842
выливать,NO_Acc  на_Acc,0.144,22  558  ,"приложение,браузер  сковородка,сковорода  ",7,0.25704225352112675
выливать,NO_Acc  на_Acc,0.144,36  558  ,"молоко,мясо  сковородка,сковорода  ",20,0.29464285714285715
выливать,NO_Acc  на_Acc,0.144,134  558  ,"пирожок,пирог  сковородка,сковорода  ",8,0.325
выливать,NO_Acc  на_Acc,0.144,77  21  ,"вино,пиво  гора,холм  ",14,0.11176734449760765
выливать,NO_Acc  на_Acc,0.144,98  621  ,"вода,воздух  карточка,карта  ",4,0.18518518518518517
выливать,NO_Acc  на_Acc,0.144,98  558  ,"вода,воздух  сковородка,сковорода  ",3,0.14351851851851852
выливать,NO_Acc  на_Acc,0.144,592  40  ,"чай,кофе  представитель,руководитель  ",4,0.1722532588454376
выливать,NO_Acc  на_Acc,0.144,344  0  ,"дрянь,гадость  дом,здание  ",4,0.12685185185185185
выливать,NO_Acc  на_Acc,0.144,393  388  ,"осколок,обломок  могила,кладбище  ",3,0.14285714285714285
выливать,NO_Acc  на_Acc,0.144,161  558  ,"часть,половина  сковородка,сковорода  ",2,0.1488095238095238
выливать,NO_Acc  на_Acc,0.144,329  290  ,"вес,килограмм  кандидат,претендент  ",2,0.10555555555555556
выливать,NO_Acc  на_Acc,0.144,549  4  ,"капля,капелька  нога,рука  ",2,0.12745098039215685
выливать,NO_Acc  на_Acc,0.144,592  5  ,"чай,кофе  одежда,костюм  ",2,0.17009132420091322
выливать,NO_Acc  на_Acc,0.144,393  558  ,"осколок,обломок  сковородка,сковорода  ",4,0.3214285714285714
выливать,NO_Acc  на_Acc,0.144,-  553  ,"-  бедняжка,бедняга  ",3,0.125
выливать,NO_Acc  на_Acc,0.144,592  45  ,"чай,кофе  телефон,компьютер  ",2,0.17401960784313725
выливать,NO_Acc  на_Acc,0.144,22  621  ,"приложение,браузер  карточка,карта  ",2,0.1737089201877934
выливать,NO_Acc  на_Acc,0.144,592  28  ,"чай,кофе  стол,столик  ",1,0.1733333333333333
выливать,NO_Acc  на_Acc,0.144,344  417  ,"дрянь,гадость  солома,сено  ",1,0.14583333333333331
выливать,NO_Acc  на_Acc,0.144,22  543  ,"приложение,браузер  продукт,товар  ",1,0.13204225352112675
выливать,NO_Acc  на_Acc,0.144,473  406  ,"итог,результат  бумага,бумажка  ",1,0.17142857142857143
выливать,NO_Acc  на_Acc,0.144,464  4  ,"горсть,пригоршня  нога,рука  ",2,0.20490196078431375
выливать,NO_Acc  на_Acc,0.144,592  -  ,"чай,кофе  -  ",3,0.3333333333333333
выливать,NO_Acc  на_Acc,0.144,434  139  ,"яд,отрава  труба,трубка  ",1,0.10964912280701754
выливать,NO_Acc  на_Acc,0.144,549  97  ,"капля,капелька  язык,диалект  ",2,0.2685185185185185
выливать,NO_Acc  на_Acc,0.144,543  4  ,"продукт,товар  нога,рука  ",2,0.12990196078431374
выливать,NO_Acc  на_Acc,0.144,152  148  ,"сотня,десяток  враг,противник  ",2,0.10818713450292397
выливать,NO_Acc  на_Acc,0.144,147  425  ,"раствор,смесь  фреска,роспись  ",1,0.10964912280701754
выливать,NO_Acc  на_Acc,0.144,464  58  ,"горсть,пригоршня  кожа,волос  ",1,0.1125
выливать,NO_Acc  на_Acc,0.144,17  555  ,"чашка,стакан  плита,плитка  ",1,0.13132911392405064
выливать,NO_Acc  на_Acc,0.144,592  8  ,"чай,кофе  человек,женщина  ",1,0.17117117117117117
выливать,NO_Acc  на_Acc,0.144,104  558  ,"число,количество  сковородка,сковорода  ",2,0.26666666666666666
выливать,NO_Acc  на_Acc,0.144,592  194  ,"чай,кофе  клиент,покупатель  ",1,0.19166666666666665
выливать,NO_Acc  на_Acc,0.144,592  21  ,"чай,кофе  гора,холм  ",1,0.16905901116427433
выливать,NO_Acc  на_Acc,0.144,282  406  ,"опыт,знание  бумага,бумажка  ",1,0.12142857142857143
выливать,NO_Acc  на_Acc,0.144,434  90  ,"яд,отрава  камень,песок  ",1,0.10119047619047619
выливать,NO_Acc  на_Acc,0.144,549  21  ,"капля,капелька  гора,холм  ",1,0.12739234449760767
выливать,NO_Acc  на_Acc,0.144,237  558  ,"пыль,грязь  сковородка,сковорода  ",1,0.16346153846153846
