Verb,Model,ModelSize,Indices,Examples,Size,Coverage
запасать,NO_Acc,0.251,198  ,"усилие,сила  ",60,0.16
запасать,NO_Acc,0.251,543  ,"продукт,товар  ",31,0.5
запасать,NO_Acc,0.251,98  ,"вода,воздух  ",31,0.1111111111111111
запасать,NO_Acc,0.251,186  ,"еда,пища  ",31,0.1875
запасать,NO_Acc,0.251,483  ,"дрова,полено  ",14,0.2
запасать,NO_Acc,0.251,380  ,"резерв,запас  ",35,0.857142857142857
запасать,NO_Acc,0.251,376  ,"орех,семечко  ",7,0.2857142857142857
запасать,NO_Acc,0.251,288  ,"кислород,водород  ",4,0.1
запасать,NO_Acc,0.251,85  ,"газ,топливо  ",10,0.13333333333333333
запасать,NO_Acc,0.251,417  ,"солома,сено  ",3,0.16666666666666666
запасать,NO_Acc,0.251,142  ,"семя,плод  ",5,0.15789473684210525
запасать,NO_Acc,0.251,302  ,"дефицит,нехватка  ",2,0.1111111111111111
запасать,NO_Acc,0.251,784  ,"электричество,электроэнергия  ",3,1.0
запасать,NO_Acc,0.251,244  ,"сахар,соль  ",8,0.38461538461538464
запасать,NO_Acc,0.251,490  ,"снаряжение,экипировка  ",2,0.2
запасать,NO_Acc,0.251,358  ,"рентабельность,доходность  ",1,0.125
запасать,NO_Acc,0.251,434  ,"яд,отрава  ",1,0.16666666666666666
запасать,NO_Acc,0.251,755  ,"минимум,максимум  ",1,0.5
запасать,NO_Acc,0.251,347  ,"оборудование,техника  ",1,0.125
запасать,NO_Acc,0.251,477  ,"свеча,свечка  ",1,0.2
запасать,NO_Acc,0.251,337  ,"предмет,вещь  ",1,0.125
запасать,NO_Acc,0.251,549  ,"капля,капелька  ",1,0.25
запасать,в_Loc,0.12,489  ,"аккумулятор,батарея  ",18,0.4
запасать,в_Loc,0.12,29  ,"клетка,организм  ",20,0.11666666666666665
запасать,в_Loc,0.12,589  ,"конденсатор,резистор  ",4,0.3333333333333333
запасать,в_Loc,0.12,142  ,"семя,плод  ",4,0.10526315789473684
запасать,в_Loc,0.12,161  ,"часть,половина  ",4,0.14285714285714285
запасать,в_Loc,0.12,265  ,"нора,гнездо  ",3,0.18181818181818182
запасать,в_Loc,0.12,616  ,"диэлектрик,полупроводник  ",1,0.3333333333333333
запасать,в_Loc,0.12,297  ,"начало,конец  ",1,0.1
запасать,в_Loc,0.12,318  ,"кость,череп  ",2,0.2222222222222222
