Verb,Model,ModelSize,Indices,Examples,Size,Coverage
запасать,NO_Acc,0.251,543  ,"продукт,товар  ",31,0.5
запасать,NO_Acc,0.251,483  ,"дрова,полено  ",14,0.2
запасать,NO_Acc,0.251,380  ,"резерв,запас  ",35,0.857142857142857
запасать,NO_Acc,0.251,376  ,"орех,семечко  ",7,0.2857142857142857
запасать,NO_Acc,0.251,784  ,"электричество,электроэнергия  ",3,1.0
запасать,NO_Acc,0.251,244  ,"сахар,соль  ",8,0.38461538461538464
запасать,NO_Acc,0.251,490  ,"снаряжение,экипировка  ",2,0.2
запасать,NO_Acc,0.251,755  ,"минимум,максимум  ",1,0.5
запасать,NO_Acc,0.251,477  ,"свеча,свечка  ",1,0.2
запасать,NO_Acc,0.251,549  ,"капля,капелька  ",1,0.25
запасать,в_Loc,0.12,489  ,"аккумулятор,батарея  ",18,0.4
запасать,в_Loc,0.12,589  ,"конденсатор,резистор  ",4,0.3333333333333333
запасать,в_Loc,0.12,616  ,"диэлектрик,полупроводник  ",1,0.3333333333333333
запасать,в_Loc,0.12,318  ,"кость,череп  ",2,0.2222222222222222
запасать,в_Loc,0.12,615  ,"катушка,обмотка  ",1,0.3333333333333333
запасать,NO_Gen,0.059,483  ,"дрова,полено  ",10,0.2
запасать,NO_Gen,0.059,380  ,"резерв,запас  ",3,0.2857142857142857
запасать,NO_Gen,0.059,543  ,"продукт,товар  ",1,0.25
запасать,NO_Nom,0.046,489  ,"аккумулятор,батарея  ",2,0.2
запасать,NO_Nom,0.046,483  ,"дрова,полено  ",3,0.4
запасать,NO_Nom,0.046,380  ,"резерв,запас  ",3,0.42857142857142855
запасать,NO_Nom,0.046,473  ,"итог,результат  ",1,0.2
запасать,NO_Nom,0.046,490  ,"снаряжение,экипировка  ",1,0.2
запасать,NO_Nom,0.046,543  ,"продукт,товар  ",1,0.25
запасать,NO_Nom,0.046,477  ,"свеча,свечка  ",1,0.2
запасать,NO_Nom  NO_Acc,0.038,589  784  ,"конденсатор,резистор  электричество,электроэнергия  ",1,0.41666666666666663
запасать,NO_Acc  в_Loc,0.032,198  489  ,"усилие,сила  аккумулятор,батарея  ",6,0.22
запасать,NO_Ins,0.027,489  ,"аккумулятор,батарея  ",2,0.4
запасать,NO_Acc  для_Gen,0.022,784  153  ,"электричество,электроэнергия  фонарь,лампа  ",1,0.2777777777777778
запасать,на_Loc,0.009,711  ,"торможение,разгон  ",1,0.5
запасать,NO_Acc  в_Acc,0.005,784  14  ,"электричество,электроэнергия  день,время  ",1,0.2536231884057971
запасать,к_Dat,0.004,592  ,"чай,кофе  ",1,0.3333333333333333
запасать,NO_Acc  при_Loc,0.004,198  711  ,"усилие,сила  торможение,разгон  ",1,0.27
запасать,при_Loc  NO_Acc  в_Loc,0.002,711  198  297  ,"торможение,разгон  усилие,сила  начало,конец  ",2,0.21333333333333335
запасать,при_Loc  NO_Acc  в_Loc,0.002,711  198  489  ,"торможение,разгон  усилие,сила  аккумулятор,батарея  ",1,0.24666666666666667
запасать,NO_Acc  из_Gen,0.001,198  719  ,"усилие,сила  электросеть,энергосистема  ",1,0.27
запасать,перед_Ins,0.001,505  ,"парад,марш  ",1,0.2
запасать,перед_Ins,0.001,497  ,"выход,вход  ",1,0.2
запасать,NO_Acc  без_Gen  в_Loc,0.001,784  280  489  ,"электричество,электроэнергия  возможность,необходимость  аккумулятор,батарея  ",1,0.26363636363636367
запасать,при помощи_Gen,0.001,489  ,"аккумулятор,батарея  ",1,0.2
дезинфицировать,NO_Acc,0.565,184  ,"рана,шрам  ",101,0.5
дезинфицировать,NO_Acc,0.565,337  ,"предмет,вещь  ",14,0.25
