Verb,Model,ModelSize,Indices,Examples,Size,Coverage
выливать,NO_Acc,0.2,98  ,"вода,воздух  ",317,0.4074074074074074
выливать,NO_Acc,0.2,77  ,"вино,пиво  ",83,0.375
выливать,NO_Acc,0.2,592  ,"чай,кофе  ",40,0.6666666666666666
выливать,NO_Acc,0.2,17  ,"чашка,стакан  ",161,0.4050632911392408
выливать,NO_Acc,0.2,344  ,"дрянь,гадость  ",29,0.5
выливать,NO_Acc,0.2,161  ,"часть,половина  ",33,0.2857142857142857
выливать,NO_Acc,0.2,147  ,"раствор,смесь  ",32,0.2631578947368421
выливать,NO_Acc,0.2,53  ,"гнев,ярость  ",39,0.23809523809523808
выливать,NO_Acc,0.2,329  ,"вес,килограмм  ",11,0.2222222222222222
выливать,NO_Acc,0.2,739  ,"фарфор,керамика  ",10,0.5
выливать,NO_Acc,0.2,359  ,"мусор,хлам  ",9,0.25
выливать,NO_Acc,0.2,199  ,"алкоголь,спиртное  ",12,0.2
выливать,NO_Acc,0.2,346  ,"душа,сердце  ",8,0.25
выливать,NO_Acc,0.2,530  ,"отвар,настой  ",8,0.5
выливать,NO_Acc,0.2,434  ,"яд,отрава  ",8,0.5
выливать,NO_Acc,0.2,566  ,"возмущение,негодование  ",10,0.75
выливать,NO_Acc,0.2,277  ,"беда,несчастие  ",4,0.2727272727272727
выливать,NO_Acc,0.2,778  ,"настроение,настрой  ",2,0.5
выливать,NO_Acc,0.2,543  ,"продукт,товар  ",3,0.5
выливать,NO_Acc,0.2,773  ,"экспрессия,эмоциональность  ",1,0.5
выливать,NO_Acc,0.2,478  ,"тайна,секрет  ",1,0.2
выливать,NO_Acc,0.2,672  ,"уловка,хитрость  ",1,0.3333333333333333
выливать,NO_Acc,0.2,549  ,"капля,капелька  ",1,0.25
выливать,NO_Acc,0.2,660  ,"штука,штучка  ",1,0.2
выливать,NO_Acc,0.2,736  ,"варение,джем  ",1,0.5
выливать,NO_Acc,0.2,545  ,"утка,гусь  ",1,0.25
выливать,NO_Acc,0.2,477  ,"свеча,свечка  ",1,0.2
выливать,NO_Acc  на_Acc,0.144,592  4  ,"чай,кофе  нога,рука  ",16,0.3431372549019608
выливать,NO_Acc  на_Acc,0.144,147  558  ,"раствор,смесь  сковородка,сковорода  ",7,0.2763157894736842
выливать,NO_Acc  на_Acc,0.144,22  558  ,"приложение,браузер  сковородка,сковорода  ",7,0.25704225352112675
выливать,NO_Acc  на_Acc,0.144,36  558  ,"молоко,мясо  сковородка,сковорода  ",20,0.29464285714285715
выливать,NO_Acc  на_Acc,0.144,134  558  ,"пирожок,пирог  сковородка,сковорода  ",8,0.325
выливать,NO_Acc  на_Acc,0.144,393  558  ,"осколок,обломок  сковородка,сковорода  ",4,0.3214285714285714
выливать,NO_Acc  на_Acc,0.144,464  4  ,"горсть,пригоршня  нога,рука  ",2,0.20490196078431375
выливать,NO_Acc  на_Acc,0.144,592  -  ,"чай,кофе  -  ",3,0.3333333333333333
выливать,NO_Acc  на_Acc,0.144,549  97  ,"капля,капелька  язык,диалект  ",2,0.2685185185185185
выливать,NO_Acc  на_Acc,0.144,104  558  ,"число,количество  сковородка,сковорода  ",2,0.26666666666666666
выливать,NO_Acc  на_Acc,0.144,778  -  ,"настроение,настрой  -  ",1,0.25
выливать,NO_Acc  на_Acc,0.144,-  753  ,"-  зек,зэк  ",1,0.25
выливать,NO_Acc  в_Acc,0.129,592  0  ,"чай,кофе  дом,здание  ",26,0.33518518518518514
выливать,NO_Acc  в_Acc,0.129,147  558  ,"раствор,смесь  сковородка,сковорода  ",12,0.2763157894736842
выливать,NO_Acc  в_Acc,0.129,98  17  ,"вода,воздух  чашка,стакан  ",26,0.2001875293014534
выливать,NO_Acc  в_Acc,0.129,77  17  ,"вино,пиво  чашка,стакан  ",28,0.20727848101265825
выливать,NO_Acc  в_Acc,0.129,344  0  ,"дрянь,гадость  дом,здание  ",6,0.2574074074074074
выливать,NO_Acc  в_Acc,0.129,36  558  ,"молоко,мясо  сковородка,сковорода  ",4,0.26785714285714285
выливать,NO_Acc  в_Acc,0.129,393  592  ,"осколок,обломок  чай,кофе  ",3,0.40476190476190477
выливать,NO_Acc  в_Acc,0.129,434  17  ,"яд,отрава  чашка,стакан  ",5,0.2626582278481013
выливать,NO_Acc  в_Acc,0.129,434  -  ,"яд,отрава  -  ",4,0.25
выливать,NO_Acc  в_Acc,0.129,549  17  ,"капля,капелька  чашка,стакан  ",6,0.27531645569620256
выливать,NO_Acc  в_Acc,0.129,36  592  ,"молоко,мясо  чай,кофе  ",3,0.35119047619047616
выливать,NO_Acc  в_Acc,0.129,592  17  ,"чай,кофе  чашка,стакан  ",5,0.35864978902953587
выливать,NO_Acc  в_Acc,0.129,566  143  ,"возмущение,негодование  сеть,интернет  ",2,0.3026315789473684
выливать,NO_Acc  в_Acc,0.129,530  4  ,"отвар,настой  нога,рука  ",2,0.2549019607843137
выливать,NO_Acc  в_Acc,0.129,530  0  ,"отвар,настой  дом,здание  ",2,0.2537037037037037
выливать,NO_Acc  в_Acc,0.129,434  760  ,"яд,отрава  чрево,утроба  ",1,0.3333333333333333
выливать,на_Acc,0.081,558  ,"сковородка,сковорода  ",71,0.75
выливать,на_Acc,0.081,347  ,"оборудование,техника  ",4,0.25
выливать,на_Acc,0.081,555  ,"плита,плитка  ",2,0.25
выливать,на_Acc,0.081,464  ,"горсть,пригоршня  ",1,0.2
выливать,на_Acc,0.081,317  ,"идея,концепция  ",2,0.2222222222222222
выливать,на_Acc,0.081,505  ,"парад,марш  ",1,0.2
выливать,на_Acc,0.081,493  ,"имущество,собственность  ",1,0.2
выливать,на_Acc,0.081,325  ,"официант,официантка  ",2,0.2222222222222222
выливать,на_Acc,0.081,359  ,"мусор,хлам  ",2,0.25
выливать,в_Acc,0.073,17  ,"чашка,стакан  ",153,0.43037974683544333
выливать,в_Acc,0.073,423  ,"колодец,скважина  ",20,0.5
выливать,в_Acc,0.073,558  ,"сковородка,сковорода  ",7,0.25
выливать,в_Acc,0.073,187  ,"канава,яма  ",9,0.3125
выливать,в_Acc,0.073,208  ,"печь,печка  ",9,0.26666666666666666
